 ,Value
1,655.317
2,696.573
3,708.061
4,727.598
5,748.622
6,754.829
7,751.268
8,765.793
9,765.829
10,779.293
11,764.768
12,772.878
13,778.841
14,778.341
15,780.756
16,785.744
17,784.183
18,780.890
19,774.634
20,782.561
21,787.024
22,793.793
23,781.427
24,787.500
25,791.293
26,790.341
27,785.134
28,783.549
29,790.915
30,802.488
31,789.341
32,798.659
33,801.463
34,798.756
35,798.585
36,794.146
37,791.354
38,803.902
39,805.451
40,808.841
41,808.317
42,801.134
43,798.732
44,806.439
45,805.659
46,803.037
47,809.061
48,801.646
49,803.146
50,796.268
51,801.463
52,805.976
53,814.244
54,826.390
55,816.646
56,813.573
57,808.720
58,811.890
59,807.951
60,813.183
61,816.622
62,819.549
63,812.963
64,814.793
65,823.244
66,816.110
67,810.549
68,815.134
69,817.195
70,820.390
71,803.012
72,799.671
73,819.098
74,819.512
75,819.976
76,820.951
77,827.744
78,824.549
79,826.720
80,825.207
81,823.793
82,826.890
83,814.122
84,821.549
85,819.866
86,834.146
87,833.720
88,837.524
89,827.390
90,832.134
91,831.841
92,825.207
93,834.915
94,826.671
95,825.451
96,829.049
97,833.232
98,836.378
99,840.671
100,844.146
101,836.463
102,836.451
103,835.341
104,842.463
105,831.805
106,837.720
107,837.939
108,834.793
109,843.573
110,846.061
111,839.939
112,834.683
113,831.439
114,842.195
115,840.585
116,850.927
117,847.024
118,847.549
119,841.293
120,846.915
121,842.890
122,851.220
123,853.683
124,847.171
125,851.280
126,850.024
127,847.415
128,855.976
129,857.573
130,856.439
131,846.012
132,844.061
133,853.585
134,854.329
135,857.695
136,849.756
137,857.878
138,845.085
139,849.159
140,858.329
141,858.439
142,854.366
143,861.232
144,865.061
145,863.463
146,853.085
147,865.268
148,859.598
149,863.256
150,869.671
151,862.537
152,860.561
153,864.927
154,870.378
155,875.366
156,864.659
157,867.171
158,869.805
159,874.927
160,865.378
161,874.707
162,869.683
163,866.512
164,878.427
165,877.146
166,879.000
167,881.183
168,864.963
169,876.561
170,878.768
171,875.598
172,875.573
173,883.159
174,881.537
175,879.146
176,883.768
177,880.073
178,886.305
179,883.732
180,889.427
181,889.610
182,884.500
183,886.049
184,884.793
185,887.305
186,894.598
187,888.805
188,898.756
189,892.988
190,897.317
191,896.110
192,888.707
193,892.634
194,888.024
195,895.939
196,889.878
197,893.110
198,899.171
199,901.854
200,895.878
201,900.829
202,906.463
203,901.159
204,909.427
205,905.341
206,915.537
207,907.000
208,901.317
209,900.061
210,902.866
211,907.622
212,911.793
213,908.037
214,907.476
215,905.732
216,898.902
217,913.695
218,919.183
219,906.756
220,910.329
221,910.683
222,920.110
223,926.037
224,919.524
225,916.659
226,915.732
227,914.366
228,911.329
229,924.866
230,923.841
231,926.976
232,918.305
233,912.573
234,917.878
235,918.256
236,928.098
237,921.476
238,925.280
239,927.732
240,930.427
241,925.183
242,925.268
243,934.768
244,929.585
245,932.134
246,930.817
247,926.524
248,928.756
249,931.171
250,940.037
251,932.037
252,934.634
253,939.841
254,937.232
255,931.110
256,943.793
257,946.634
258,947.561
259,950.732
260,953.866
261,948.524
262,943.317
263,943.098
264,952.549
265,937.829
266,949.878
267,950.976
268,954.244
269,954.537
270,961.707
271,948.634
272,959.378
273,958.488
274,956.098
275,953.049
276,971.963
277,962.268
278,966.354
279,960.317
280,961.220
281,963.220
282,960.061
283,963.073
284,957.805
285,959.988
286,969.427
287,961.366
288,972.354
289,962.878
290,972.439
291,966.805
292,972.756
293,970.829
294,975.793
295,968.927
296,973.720
297,983.634
298,987.305
299,982.537
300,978.037
301,977.171
302,983.110
303,975.061
304,972.390
305,974.207
306,987.622
307,982.232
308,992.573
309,991.732
310,991.366
311,989.744
312,986.329
313,992.171
314,985.598
315,986.744
316,990.622
317,986.500
318,999.878
319,989.329
320,986.000
321,985.293
322,990.732
323,994.793
324,1000.037
325,997.390
326,1006.451
327,1002.988
328,998.780
329,1000.220
330,990.098
331,1006.488
332,1000.244
333,995.817
334,1006.329
335,1009.585
336,1005.707
337,1008.780
338,1001.817
339,1008.988
340,1007.976
341,1010.329
342,1007.598
343,1004.305
344,1010.293
345,1018.744
346,1009.549
347,1020.756
348,1025.659
349,1017.659
350,1020.341
351,1016.354
352,1017.866
353,1018.524
354,1022.207
355,1018.988
356,1010.805
357,1018.000
358,1022.268
359,1012.756
360,1017.110
361,1014.659
362,1016.939
363,1021.659
364,1017.451
365,1024.866
366,1017.085
367,1023.146
368,1032.268
369,1032.951
370,1027.537
371,1028.963
372,1040.195
373,1031.451
374,1023.232
375,1039.366
376,1035.610
377,1035.756
378,1032.646
379,1036.634
380,1046.366
381,1047.732
382,1039.573
383,1043.780
384,1036.951
385,1035.488
386,1054.049
387,1045.634
388,1042.110
389,1043.427
390,1058.976
391,1061.976
392,1049.720
393,1058.122
394,1051.915
395,1055.780
396,1066.024
397,1048.707
398,1059.915
399,1069.378
400,1066.354
401,1065.939
402,1067.159
403,1067.305
404,1066.073
405,1072.585
406,1059.354
407,1067.305
408,1070.598
409,1067.476
410,1070.951
411,1088.622
412,1070.463
413,1086.634
414,1072.268
415,1070.171
416,1072.720
417,1077.939
418,1068.988
419,1083.098
420,1075.561
421,1080.305
422,1077.146
423,1077.171
424,1078.293
425,1087.244
426,1081.341
427,1083.305
428,1078.524
429,1081.085
430,1092.561
431,1085.122
432,1094.488
433,1100.915
434,1094.305
435,1096.573
436,1086.366
437,1089.902
438,1101.305
439,1096.000
440,1098.915
441,1100.159
442,1110.256
443,1105.951
444,1102.659
445,1103.524
446,1101.451
447,1096.402
448,1097.939
449,1095.793
450,1106.134
451,1095.756
452,1100.268
453,1095.463
454,1097.988
455,1105.195
456,1108.207
457,1103.293
458,1107.012
459,1099.061
460,1098.573
461,1101.927
462,1098.927
463,1102.500
464,1105.890
465,1113.183
466,1111.110
467,1112.915
468,1112.841
469,1110.280
470,1111.841
471,1111.195
472,1108.561
473,1112.220
474,1112.159
475,1115.768
476,1112.963
477,1127.232
478,1125.695
479,1131.195
480,1122.854
481,1114.293
482,1127.463
483,1119.976
484,1124.890
485,1135.890
486,1135.598
487,1138.390
488,1131.963
489,1141.183
490,1142.244
491,1142.451
492,1141.427
493,1143.805
494,1132.512
495,1135.805
496,1140.171
497,1141.256
498,1139.890
499,1149.951
500,1147.817
501,1160.146
502,1155.195
503,1152.317
504,1150.073
505,1148.256
506,1151.793
507,1161.451
508,1161.939
509,1161.963
510,1163.207
511,1160.122
512,1166.768
513,1169.110
514,1173.098
515,1180.988
516,1176.354
517,1176.793
518,1181.707
