 ,Value
1,583.756
2,614.305
3,632.476
4,647.293
5,654.000
6,664.634
7,672.524
8,678.134
9,679.732
10,674.317
11,684.939
12,689.756
13,682.671
14,695.366
15,682.549
16,685.402
17,687.183
18,691.585
19,697.012
20,688.561
21,694.720
22,700.049
23,699.073
24,701.329
25,699.110
26,700.829
27,700.854
28,702.427
29,712.073
30,709.000
31,702.902
32,705.561
33,711.780
34,708.866
35,704.878
36,706.061
37,712.085
38,699.244
39,709.317
40,710.939
41,696.476
42,706.366
43,707.317
44,711.829
45,721.476
46,706.427
47,712.927
48,714.195
49,718.451
50,715.341
51,710.366
52,714.390
53,716.378
54,713.537
55,724.988
56,717.549
57,718.476
58,719.402
59,723.500
60,717.756
61,718.598
62,725.866
63,717.927
64,723.195
65,732.634
66,721.878
67,728.366
68,732.024
69,722.549
70,730.207
71,717.780
72,714.110
73,730.768
74,738.207
75,735.159
76,730.366
77,737.098
78,730.244
79,730.073
80,732.268
81,729.671
82,739.427
83,733.927
84,733.220
85,735.488
86,727.768
87,738.524
88,737.524
89,736.598
90,737.390
91,731.976
92,748.317
93,741.256
94,742.049
95,740.183
96,742.963
97,747.402
98,749.976
99,740.549
100,741.573
101,745.134
102,742.622
103,750.183
104,751.805
105,747.207
106,755.110
107,748.707
108,750.695
109,751.683
110,755.427
111,750.598
112,758.195
113,747.988
114,750.732
115,749.585
116,755.805
117,756.610
118,752.683
119,763.488
120,754.780
121,761.793
122,765.939
123,763.085
124,758.756
125,753.573
126,755.012
127,755.890
128,756.329
129,762.573
130,763.646
131,767.634
132,766.366
133,771.110
134,767.354
135,764.890
136,770.768
137,770.366
138,765.720
139,772.390
140,768.244
141,774.220
142,767.098
143,771.683
144,765.659
145,764.561
146,770.049
147,766.463
148,769.329
149,771.988
150,761.573
151,772.390
152,772.341
153,778.012
154,784.476
155,784.695
156,783.732
157,780.463
158,774.902
159,792.293
160,784.085
161,780.902
162,781.549
163,773.683
164,787.220
165,787.085
166,786.256
167,786.573
168,777.890
169,783.427
170,788.500
171,792.744
172,791.012
173,793.439
174,796.329
175,793.976
176,790.134
177,798.171
178,796.890
179,800.817
180,798.122
181,799.415
182,800.232
183,801.927
184,801.585
185,805.915
186,800.451
187,804.415
188,810.195
189,810.866
190,804.280
191,801.256
192,805.134
193,805.598
194,812.439
195,816.634
196,819.561
197,807.451
198,812.598
199,817.463
200,815.768
201,823.024
202,827.476
203,814.744
204,819.927
205,821.073
206,825.793
207,823.378
208,825.110
209,824.561
210,821.207
211,825.244
212,821.463
213,822.317
214,824.012
215,829.268
216,819.146
217,823.024
218,827.720
219,836.646
220,832.402
221,830.268
222,832.805
223,833.305
224,830.159
225,827.793
226,833.402
227,839.671
228,837.207
229,831.817
230,839.780
231,842.976
232,841.256
233,843.902
234,837.902
235,840.768
236,851.012
237,836.427
238,836.573
239,854.744
240,855.488
241,853.915
242,854.720
243,845.585
244,853.256
245,852.671
246,857.573
247,861.720
248,850.390
249,854.866
250,856.427
251,847.085
252,858.646
253,869.902
254,855.415
255,866.659
256,859.122
257,865.549
258,869.829
259,863.890
260,870.927
261,869.012
262,870.280
263,869.671
264,872.451
265,881.122
266,871.841
267,880.293
268,880.085
269,878.024
270,879.610
271,892.476
272,880.451
273,883.561
274,889.500
275,877.427
276,887.524
277,887.439
278,885.732
279,890.012
280,892.756
281,888.927
282,888.402
283,891.232
284,895.598
285,896.012
286,902.195
287,895.732
288,893.293
289,895.927
290,899.293
291,898.427
292,905.073
293,897.646
294,894.195
295,908.951
296,906.195
297,910.317
298,910.232
299,906.268
300,903.902
301,910.841
302,909.756
303,912.561
304,916.439
305,906.207
306,908.561
307,908.256
308,927.561
309,918.951
310,913.610
311,926.646
312,927.085
313,927.988
314,920.732
315,921.671
316,925.012
317,930.280
318,924.622
319,926.195
320,927.354
321,923.683
322,925.073
323,928.537
324,920.451
325,941.049
326,934.659
327,932.439
328,932.500
329,933.098
330,942.488
331,943.256
332,936.659
333,944.768
334,935.159
335,936.878
336,937.171
337,944.207
338,941.915
339,945.671
340,947.659
341,956.500
342,949.476
343,960.110
344,959.305
345,951.037
346,951.463
347,961.146
348,959.756
349,957.098
350,960.561
351,960.817
352,961.451
353,967.573
354,968.561
355,971.634
356,963.024
357,959.183
358,971.049
359,964.683
360,961.841
361,969.829
362,980.098
363,975.939
364,965.927
365,965.744
366,975.988
367,976.683
368,967.817
369,974.878
370,971.549
371,977.463
372,982.524
373,981.988
374,991.549
375,986.732
376,988.110
377,987.134
378,993.183
379,991.939
380,992.902
381,991.171
382,984.585
383,993.085
384,1001.439
385,1002.927
386,1004.061
387,991.451
388,1005.829
389,1002.488
390,1011.732
391,1007.195
392,1014.976
393,1004.659
394,1008.244
395,1018.171
396,1015.659
397,999.854
398,1013.732
399,1016.134
400,1013.244
401,1025.939
402,1030.561
403,1024.707
404,1014.866
405,1016.695
406,1018.146
407,1022.610
408,1020.512
409,1023.171
410,1025.366
411,1019.768
412,1028.854
413,1020.610
414,1034.500
415,1038.341
416,1033.195
417,1037.683
418,1033.671
419,1043.634
420,1046.256
421,1049.329
422,1033.402
423,1045.000
424,1044.720
425,1052.793
426,1054.427
427,1047.768
428,1054.866
429,1048.890
430,1058.232
431,1051.329
432,1047.305
433,1052.232
434,1070.146
435,1049.451
436,1056.488
437,1059.268
438,1063.305
439,1057.146
440,1059.000
441,1057.671
442,1066.073
443,1063.537
444,1062.524
445,1072.000
446,1065.817
447,1058.659
448,1070.720
449,1068.573
450,1063.171
451,1070.451
452,1075.902
453,1066.378
454,1075.341
455,1071.415
456,1070.866
457,1072.524
458,1072.549
459,1072.476
460,1075.439
461,1079.244
462,1078.390
463,1076.988
464,1080.768
465,1076.159
466,1078.927
467,1083.537
468,1076.500
469,1090.122
470,1087.890
471,1094.354
472,1087.268
473,1086.439
474,1100.976
475,1089.268
476,1083.451
477,1090.329
478,1102.232
479,1099.841
480,1095.829
481,1109.012
482,1104.634
483,1096.524
484,1105.610
485,1101.159
486,1118.354
487,1116.000
488,1116.634
489,1124.598
490,1119.159
491,1115.683
492,1120.268
493,1124.549
494,1129.720
495,1134.841
496,1114.610
497,1121.537
498,1128.183
499,1128.537
500,1136.500
501,1133.683
502,1136.415
503,1144.720
504,1141.378
505,1144.098
506,1136.024
507,1143.207
508,1155.146
509,1143.829
510,1148.341
511,1156.756
512,1152.902
513,1159.220
514,1155.232
515,1156.707
516,1167.988
517,1159.122
518,1171.768
519,1171.049
520,1165.768
521,1162.537
522,1161.037
523,1172.659
524,1171.598
525,1170.073
526,1179.061
527,1169.305
528,1173.366
529,1173.732
530,1184.512
531,1175.488
532,1177.683
533,1181.256
534,1182.000
535,1186.232
536,1181.963
537,1196.256
538,1185.280
539,1182.488
540,1179.171
541,1185.756
542,1187.622
543,1195.134
544,1192.963
545,1195.317
546,1199.939
547,1195.939
548,1201.463
549,1196.598
550,1198.378
551,1196.768
552,1202.744
553,1206.854
554,1199.720
555,1198.927
556,1210.732
557,1214.866
558,1211.317
559,1209.780
560,1208.488
561,1212.402
562,1215.890
563,1205.183
564,1220.659
565,1223.878
566,1225.415
567,1221.402
568,1229.988
569,1224.524
570,1233.768
571,1226.683
572,1232.646
573,1235.988
574,1233.500
575,1230.293
576,1240.671
577,1224.915
578,1223.805
579,1238.146
580,1241.390
581,1246.902
582,1238.573
583,1247.488
584,1247.232
585,1249.207
586,1243.890
587,1249.049
588,1253.890
589,1255.841
590,1257.268
591,1255.695
592,1251.305
593,1261.195
594,1256.500
595,1252.951
596,1258.134
597,1254.207
598,1270.305
599,1260.866
600,1264.988
601,1267.890
602,1263.549
603,1269.671
604,1273.402
605,1266.988
606,1267.134
607,1276.171
608,1278.207
609,1283.171
610,1273.390
611,1275.951
612,1273.220
613,1281.902
614,1280.939
615,1293.329
616,1295.927
617,1279.793
618,1280.207
619,1287.183
620,1294.817
621,1290.293
622,1291.963
623,1291.134
624,1298.512
625,1296.854
626,1302.963
627,1288.000
628,1295.159
629,1310.061
630,1303.049
631,1310.463
632,1306.500
633,1309.488
634,1318.537
635,1308.598
636,1315.244
637,1316.390
638,1315.561
639,1312.305
640,1303.622
641,1312.988
642,1326.220
643,1309.512
644,1319.268
645,1320.683
646,1313.171
647,1327.341
648,1323.500
649,1326.061
650,1336.598
651,1325.854
652,1333.037
653,1325.646
654,1330.085
655,1337.683
656,1330.061
657,1330.878
658,1334.037
659,1334.720
660,1324.988
661,1339.768
662,1333.244
663,1342.768
664,1349.829
665,1340.232
666,1349.159
667,1346.707
668,1344.073
669,1341.146
670,1359.305
671,1348.646
672,1361.037
673,1346.305
674,1356.073
675,1353.512
676,1362.098
677,1358.305
678,1353.598
679,1357.390
680,1357.488
681,1362.805
682,1361.537
683,1369.768
684,1362.878
685,1366.963
686,1366.890
687,1370.549
688,1382.329
689,1367.976
690,1376.378
691,1361.695
692,1364.866
693,1374.049
694,1377.537
695,1372.012
696,1376.939
697,1372.159
698,1382.561
699,1380.780
700,1381.720
701,1387.598
702,1380.390
703,1383.695
704,1383.293
705,1383.220
706,1382.280
707,1391.500
708,1393.573
709,1392.890
710,1399.659
711,1379.707
712,1392.585
713,1395.159
714,1394.098
715,1387.988
716,1395.524
717,1415.902
718,1404.122
719,1400.439
720,1408.476
721,1400.439
722,1413.927
723,1408.000
724,1407.744
725,1407.951
726,1400.134
727,1410.841
728,1407.098
729,1406.098
730,1409.512
731,1423.744
732,1413.110
733,1413.268
734,1409.049
735,1412.305
736,1423.098
737,1431.890
738,1426.598
739,1436.976
740,1431.195
741,1437.915
742,1422.159
743,1432.902
744,1424.878
745,1426.195
746,1429.012
747,1428.817
748,1432.268
749,1424.354
750,1438.232
751,1433.207
752,1437.268
753,1439.000
754,1434.122
755,1437.524
756,1439.622
757,1440.659
758,1436.780
759,1444.256
760,1433.915
761,1445.744
762,1441.195
763,1451.732
764,1448.024
765,1440.610
766,1460.561
767,1444.598
768,1449.476
769,1449.122
770,1458.256
771,1457.366
772,1455.610
773,1452.329
774,1452.244
775,1451.524
776,1457.280
777,1452.415
778,1457.598
779,1452.476
780,1455.195
781,1467.244
782,1466.780
783,1466.573
784,1468.768
785,1470.110
786,1464.427
787,1467.500
788,1460.524
789,1466.122
790,1469.415
791,1471.585
792,1479.037
793,1477.256
794,1473.561
795,1470.244
796,1470.268
797,1466.512
798,1474.756
799,1478.256
800,1475.878
801,1479.634
802,1477.073
803,1484.341
804,1479.171
805,1485.110
806,1485.476
807,1482.171
808,1479.463
809,1485.732
810,1491.561
811,1489.805
812,1502.817
813,1486.122
814,1496.927
815,1494.439
816,1493.085
817,1486.573
818,1493.610
819,1507.415
820,1498.841
821,1498.537
822,1507.598
823,1493.866
824,1504.159
825,1503.451
826,1496.585
827,1497.451
828,1497.707
829,1514.524
830,1507.220
831,1502.256
832,1504.268
833,1506.232
834,1498.171
835,1508.610
836,1506.195
837,1510.037
838,1505.756
839,1508.146
840,1509.439
841,1500.012
842,1510.110
843,1505.183
844,1498.829
845,1500.061
846,1499.146
847,1507.500
848,1514.305
849,1511.732
850,1505.732
851,1520.159
852,1509.524
853,1514.976
854,1509.098
855,1518.244
856,1504.476
857,1518.244
858,1522.024
859,1524.780
860,1519.293
861,1519.780
862,1523.963
863,1525.756
864,1523.573
865,1517.756
866,1524.841
867,1515.354
868,1516.390
869,1515.427
870,1517.451
871,1524.500
872,1524.512
873,1522.463
874,1519.183
875,1520.720
876,1518.000
877,1524.366
878,1526.549
879,1518.951
880,1524.134
881,1519.085
882,1523.268
883,1524.854
884,1526.963
885,1540.110
886,1524.195
887,1542.061
888,1530.171
889,1540.817
890,1525.415
891,1526.341
892,1536.988
893,1537.500
894,1534.610
895,1538.134
896,1539.768
897,1534.890
898,1526.829
899,1537.476
900,1533.756
901,1528.037
902,1543.866
903,1553.634
904,1547.073
905,1530.232
906,1532.000
907,1539.439
908,1544.720
909,1532.390
910,1549.354
911,1540.451
912,1546.939
913,1554.037
914,1531.293
915,1533.098
916,1557.195
917,1541.329
918,1551.622
919,1538.610
920,1547.951
921,1540.829
922,1547.817
923,1552.890
924,1546.463
925,1552.585
926,1546.854
927,1547.524
928,1556.134
929,1559.768
930,1553.171
931,1541.756
932,1560.841
933,1553.927
934,1550.976
935,1563.220
936,1568.720
937,1545.744
938,1554.220
939,1555.549
940,1554.524
941,1565.463
942,1544.024
943,1554.585
944,1561.122
945,1548.524
946,1551.415
947,1558.378
948,1556.634
949,1550.244
950,1558.268
951,1543.244
952,1552.280
953,1558.939
954,1557.171
955,1563.317
956,1558.427
957,1551.256
958,1564.195
959,1565.634
960,1558.378
961,1565.268
962,1569.573
963,1564.537
964,1569.134
965,1559.561
966,1559.378
967,1559.293
968,1556.610
969,1557.793
970,1555.951
971,1559.085
972,1558.573
973,1553.573
974,1556.610
975,1558.000
976,1563.610
977,1562.268
978,1549.671
979,1545.683
980,1552.085
981,1571.305
982,1559.951
983,1548.098
984,1549.378
985,1557.756
986,1552.622
987,1547.012
988,1554.073
989,1560.146
990,1554.244
991,1558.256
992,1561.305
993,1559.512
994,1549.780
995,1564.695
996,1551.317
997,1550.317
998,1552.415
