 ,Value
1,767.073
2,797.378
3,827.390
4,849.085
5,858.220
6,863.463
7,873.976
8,868.585
9,885.317
10,889.451
11,890.500
12,893.415
13,888.890
14,893.000
15,897.451
16,901.439
17,895.195
18,910.085
19,909.841
20,908.037
21,916.854
22,912.720
23,909.817
24,904.512
25,909.402
26,912.354
27,907.817
28,914.841
29,908.927
30,909.098
31,925.744
32,921.488
33,920.134
34,918.146
35,921.159
36,929.268
37,925.512
38,919.476
39,924.805
40,921.841
41,931.573
42,927.939
43,924.171
44,927.073
45,932.244
46,932.720
47,933.744
48,940.610
49,926.951
50,927.317
51,918.537
52,935.573
53,938.646
54,933.805
55,938.500
56,931.390
57,924.695
58,932.122
59,929.866
60,930.915
61,946.073
62,938.939
63,939.793
64,942.756
65,939.354
66,945.341
67,934.659
68,944.963
69,943.720
70,938.841
71,927.378
72,930.915
73,942.780
74,935.585
75,939.207
76,947.390
77,942.744
78,945.122
79,953.707
80,946.012
81,941.707
82,935.939
83,945.927
84,942.939
85,945.280
86,939.402
87,935.098
88,948.976
89,954.280
90,945.061
91,956.829
92,952.293
93,943.354
94,955.122
95,957.476
96,952.720
97,955.573
98,949.329
99,958.024
100,953.659
101,955.390
102,957.829
103,957.012
104,964.098
105,965.817
106,957.646
107,965.878
108,959.561
109,967.768
110,967.512
111,966.671
112,968.220
113,975.451
114,971.159
115,973.061
116,972.195
117,973.244
118,970.683
119,968.329
120,971.012
121,968.780
122,969.744
123,970.512
124,975.707
125,972.134
126,979.049
127,975.207
128,974.707
129,973.037
130,972.317
131,970.012
132,970.366
133,964.378
134,974.878
135,974.829
136,980.512
137,987.573
138,973.354
139,976.110
140,973.659
141,969.927
142,980.744
143,983.866
144,984.573
145,980.207
146,977.012
147,980.256
148,983.402
149,984.341
150,972.927
151,989.244
152,980.878
153,988.598
154,989.280
155,981.671
156,989.671
157,991.988
158,987.024
159,995.378
160,990.951
161,985.817
162,989.305
163,992.061
164,994.976
165,980.268
166,990.134
167,994.341
168,1002.634
169,998.951
170,996.988
171,996.012
172,995.049
173,997.646
174,995.671
175,1001.939
176,998.317
177,1003.012
178,997.951
179,1001.110
180,995.415
181,1000.841
182,1002.146
183,1000.195
184,999.354
185,1007.476
186,1011.756
187,1005.037
188,1010.183
189,1006.988
190,1016.744
191,1007.866
192,1013.220
193,1012.268
194,1008.768
195,1006.366
196,1014.927
197,1015.963
198,1017.976
199,1012.622
200,1019.183
201,1012.683
202,1022.207
203,1021.024
204,1024.195
205,1025.927
206,1021.878
207,1019.341
208,1026.768
209,1022.256
210,1015.500
211,1013.805
212,1017.768
213,1033.512
214,1028.159
215,1035.561
216,1035.366
217,1030.415
218,1027.537
219,1035.085
220,1023.561
221,1026.854
222,1022.256
223,1030.963
224,1035.659
225,1032.037
226,1027.866
227,1032.329
228,1025.927
229,1026.659
230,1031.622
231,1029.561
232,1026.159
233,1040.232
234,1037.183
235,1033.110
236,1033.829
237,1033.402
238,1029.634
239,1039.183
240,1042.805
241,1035.683
242,1038.732
243,1036.915
244,1039.134
245,1038.463
246,1035.220
247,1033.939
248,1035.988
249,1035.024
250,1037.220
251,1048.293
252,1038.220
253,1043.402
254,1042.280
255,1051.427
256,1044.902
257,1047.049
258,1052.695
259,1053.646
260,1050.854
261,1056.500
262,1051.183
263,1049.512
264,1062.305
265,1065.159
266,1048.561
267,1055.463
268,1047.976
269,1057.244
270,1070.305
271,1066.927
272,1058.927
273,1061.159
274,1055.317
275,1065.476
276,1070.756
277,1068.415
278,1062.805
279,1072.598
280,1066.073
281,1065.720
282,1068.524
283,1069.585
284,1067.976
285,1070.232
286,1070.415
287,1066.756
288,1072.756
289,1071.817
290,1080.634
291,1072.427
292,1072.012
293,1074.049
294,1081.585
295,1077.195
296,1072.232
297,1072.671
298,1071.439
299,1074.561
300,1072.951
301,1081.707
302,1083.195
303,1068.476
304,1087.171
305,1084.207
306,1077.683
307,1084.622
308,1085.512
309,1086.805
310,1087.439
311,1093.415
312,1095.866
313,1086.354
314,1087.841
315,1092.098
316,1086.573
317,1083.805
318,1085.902
319,1085.805
320,1089.646
321,1090.634
322,1084.878
323,1085.976
324,1091.537
325,1087.890
326,1104.415
327,1106.683
328,1105.146
329,1094.061
330,1097.744
331,1094.171
332,1098.866
333,1085.939
334,1088.939
335,1103.683
336,1096.195
337,1100.585
338,1105.159
339,1100.683
340,1098.159
341,1103.390
342,1107.768
343,1098.537
344,1094.951
345,1115.366
346,1107.427
347,1104.646
348,1112.146
349,1108.073
350,1112.549
351,1109.720
352,1110.829
353,1108.195
354,1111.732
355,1117.890
356,1113.061
357,1112.817
358,1106.000
359,1111.537
360,1106.159
361,1107.598
362,1108.573
363,1100.793
364,1110.488
365,1110.902
366,1109.134
367,1115.671
368,1107.963
369,1119.220
370,1111.488
371,1118.317
372,1120.732
373,1120.707
374,1118.829
375,1115.500
376,1122.817
377,1117.878
378,1120.756
379,1119.915
380,1116.951
381,1120.829
382,1129.573
383,1133.866
384,1133.402
385,1126.512
386,1130.476
387,1133.646
388,1121.622
389,1136.598
390,1133.159
391,1125.671
392,1126.634
393,1130.451
394,1131.439
395,1132.427
396,1136.220
397,1140.427
398,1143.671
399,1142.110
400,1140.098
401,1143.598
402,1152.890
403,1146.122
404,1138.878
405,1132.720
406,1141.195
407,1144.305
408,1138.707
409,1148.390
410,1145.951
411,1142.963
412,1146.927
413,1164.951
414,1155.000
415,1143.817
416,1148.232
417,1143.829
418,1147.841
419,1157.098
420,1158.756
421,1148.415
422,1159.902
423,1164.232
424,1162.122
425,1159.939
426,1158.634
427,1160.110
428,1158.707
429,1164.293
430,1159.537
431,1181.537
432,1164.439
433,1159.402
434,1172.305
435,1169.988
436,1167.256
437,1159.573
438,1166.354
439,1182.073
440,1185.512
441,1171.488
442,1165.646
443,1162.378
444,1166.659
445,1168.744
446,1174.000
447,1171.354
448,1165.500
449,1170.463
450,1170.049
451,1165.134
452,1166.012
453,1163.524
454,1171.817
455,1165.573
456,1170.878
457,1165.366
458,1160.561
459,1158.000
460,1165.793
461,1165.354
462,1165.829
463,1153.085
464,1173.293
465,1150.488
466,1166.744
467,1172.280
468,1180.195
469,1174.622
470,1169.659
471,1170.817
472,1171.951
473,1165.573
474,1165.293
475,1173.500
476,1184.720
477,1184.549
478,1181.768
479,1177.207
480,1183.561
481,1178.598
482,1195.000
483,1179.354
484,1193.293
485,1195.817
486,1179.305
487,1175.744
488,1186.207
489,1180.207
490,1195.256
491,1186.390
492,1188.049
493,1207.890
494,1195.988
495,1205.537
496,1198.939
497,1208.207
498,1210.744
499,1197.171
500,1199.915
501,1194.268
502,1203.524
503,1203.476
504,1206.793
505,1205.671
506,1216.988
507,1211.378
508,1204.768
509,1207.817
510,1219.049
511,1213.878
512,1214.293
513,1215.634
514,1230.061
515,1220.220
516,1217.585
517,1221.524
518,1232.451
519,1221.829
520,1225.280
521,1223.500
522,1221.793
523,1227.354
524,1220.646
525,1223.683
526,1226.976
527,1232.841
528,1222.646
529,1225.866
530,1227.098
531,1235.902
532,1234.415
533,1235.207
534,1231.988
535,1229.537
536,1227.305
537,1219.280
538,1232.390
539,1244.146
540,1229.305
541,1228.805
542,1234.183
543,1231.512
544,1230.878
545,1236.110
546,1244.268
547,1238.927
548,1251.866
549,1239.585
550,1250.378
551,1247.256
552,1245.622
553,1247.122
554,1241.659
555,1244.159
556,1247.171
557,1246.329
558,1239.232
559,1239.354
560,1238.390
561,1242.402
562,1241.195
563,1245.451
564,1258.537
565,1242.146
566,1243.341
567,1251.134
568,1257.537
569,1258.500
570,1254.610
571,1254.402
572,1250.488
573,1261.341
574,1260.439
575,1263.720
576,1255.098
577,1257.439
578,1258.793
579,1257.463
580,1263.683
581,1271.183
582,1266.854
583,1261.780
584,1265.280
585,1261.915
586,1250.488
587,1261.110
588,1264.049
589,1260.939
590,1263.061
591,1269.732
592,1270.500
593,1262.768
594,1267.720
595,1272.037
596,1275.098
597,1274.171
598,1272.939
599,1269.793
600,1276.390
601,1273.256
602,1273.695
603,1286.756
604,1282.341
605,1281.073
606,1282.195
607,1284.378
608,1277.098
609,1276.317
610,1282.085
611,1281.768
612,1276.268
613,1279.927
614,1279.463
615,1280.537
616,1291.402
617,1282.683
618,1282.280
619,1293.280
620,1280.585
621,1291.610
622,1291.049
623,1292.244
624,1284.646
625,1284.305
626,1292.707
627,1290.524
628,1289.171
629,1288.915
630,1291.683
631,1294.085
632,1289.134
633,1295.866
634,1291.939
635,1292.305
636,1297.061
637,1300.280
638,1290.707
639,1301.573
640,1293.073
641,1299.720
642,1300.841
643,1303.402
644,1297.988
645,1297.927
646,1301.951
647,1301.646
648,1306.732
649,1303.671
650,1304.134
651,1313.427
652,1302.305
653,1304.232
654,1296.963
655,1298.963
656,1300.256
657,1304.768
658,1311.049
659,1308.232
660,1305.098
661,1314.244
662,1313.707
663,1308.049
664,1315.183
665,1311.024
666,1305.329
667,1313.085
668,1315.317
669,1298.171
670,1308.939
671,1311.305
672,1310.049
673,1311.354
674,1314.122
675,1314.476
676,1311.878
677,1311.976
678,1310.280
679,1315.378
680,1308.244
681,1324.317
682,1318.951
683,1324.402
684,1327.829
685,1325.195
686,1315.732
687,1313.634
688,1322.500
689,1325.646
690,1325.537
691,1321.610
692,1320.171
693,1327.622
694,1327.695
695,1332.756
696,1325.780
697,1322.951
698,1338.927
699,1334.524
700,1334.890
701,1328.634
702,1333.890
703,1325.573
704,1320.268
705,1340.500
706,1334.537
707,1333.537
708,1336.768
709,1332.354
710,1329.598
711,1328.268
712,1339.963
713,1339.171
714,1332.232
715,1326.744
716,1331.402
717,1328.073
718,1336.366
719,1337.256
720,1339.573
721,1346.049
722,1336.902
723,1344.756
724,1341.622
725,1347.768
726,1341.951
727,1334.878
728,1350.024
729,1348.805
730,1340.695
731,1341.780
732,1343.366
733,1351.829
734,1350.000
735,1341.000
736,1339.427
737,1352.634
738,1353.037
739,1346.402
740,1348.561
741,1345.841
742,1348.659
743,1340.317
744,1348.293
745,1350.902
746,1345.610
747,1352.866
748,1339.927
749,1339.646
750,1340.646
751,1346.061
752,1349.195
753,1343.793
754,1356.476
755,1361.598
756,1354.622
757,1355.341
758,1350.268
759,1361.061
760,1357.305
761,1354.549
762,1344.890
763,1354.659
764,1353.463
765,1350.049
766,1353.720
767,1360.341
768,1354.061
769,1370.610
770,1364.549
771,1359.366
772,1354.549
773,1362.037
774,1366.841
775,1355.049
776,1356.098
777,1367.012
778,1367.427
779,1361.951
780,1356.439
781,1365.939
782,1363.512
783,1363.134
784,1369.634
785,1365.915
786,1360.902
787,1364.171
788,1362.841
789,1359.378
790,1359.085
791,1361.683
792,1359.439
793,1352.915
794,1372.622
795,1369.561
796,1366.244
797,1362.329
798,1368.073
799,1363.402
800,1366.280
801,1360.963
802,1367.659
803,1372.537
804,1370.695
805,1383.183
806,1384.305
807,1379.463
808,1368.573
809,1369.439
810,1366.000
811,1364.963
812,1366.232
813,1387.427
814,1372.634
815,1373.415
816,1367.439
817,1367.549
818,1378.561
819,1368.817
820,1370.768
821,1381.159
822,1378.012
823,1368.756
824,1373.744
825,1383.890
826,1375.110
827,1372.854
828,1371.463
829,1379.598
830,1373.622
831,1368.512
832,1381.622
833,1372.707
834,1368.720
835,1381.122
836,1374.878
837,1377.854
838,1377.159
839,1369.183
840,1384.939
841,1377.951
842,1388.780
843,1375.195
844,1372.585
845,1383.671
846,1386.634
847,1383.963
848,1391.732
849,1375.988
850,1376.573
851,1385.646
852,1374.378
853,1374.232
854,1377.268
855,1378.085
856,1385.793
857,1378.256
858,1371.232
859,1384.549
860,1387.927
861,1396.561
862,1389.122
863,1374.524
864,1378.610
865,1376.634
866,1386.634
867,1382.000
868,1379.366
869,1383.622
870,1383.915
871,1377.841
872,1389.646
873,1385.488
874,1381.793
875,1380.195
876,1376.366
877,1380.000
878,1375.829
879,1385.012
880,1370.610
881,1375.256
882,1377.378
883,1378.500
884,1379.988
885,1383.524
886,1382.756
887,1388.890
888,1376.341
889,1385.854
890,1389.329
891,1385.073
892,1389.207
893,1389.171
894,1380.720
895,1382.488
896,1378.756
897,1380.573
898,1378.866
899,1386.159
900,1382.073
901,1381.195
902,1401.732
903,1381.341
904,1390.000
905,1380.134
906,1379.012
907,1381.890
908,1384.012
909,1365.146
910,1381.951
911,1384.610
912,1382.561
913,1373.122
914,1391.305
915,1381.671
916,1377.366
917,1382.793
918,1383.439
919,1381.427
920,1391.537
921,1386.720
922,1388.927
923,1386.183
924,1394.427
925,1387.829
926,1383.537
927,1382.768
928,1385.537
929,1379.841
930,1387.659
931,1393.598
932,1390.878
933,1380.061
934,1384.793
935,1378.878
936,1386.463
937,1385.939
