 ,Value
1,513.280
2,535.463
3,559.744
4,572.280
5,583.451
6,587.866
7,592.366
8,595.512
9,599.451
10,596.427
11,604.463
12,600.573
13,606.976
14,602.646
15,612.561
16,609.354
17,600.683
18,606.683
19,616.049
20,610.256
21,616.390
22,614.195
23,619.878
24,619.293
25,610.963
26,613.951
27,621.451
28,618.549
29,613.927
30,622.768
31,630.378
32,623.695
33,617.902
34,616.366
35,628.756
36,622.341
37,628.756
38,631.220
39,628.488
40,628.683
41,631.317
42,624.463
43,631.500
44,627.268
45,632.756
46,627.659
47,625.634
48,630.598
49,630.622
50,628.902
51,626.622
52,632.402
53,636.902
54,635.220
55,631.963
56,631.354
57,632.293
58,640.146
59,634.049
60,635.537
61,628.695
62,635.622
63,635.622
64,637.317
65,637.122
66,642.183
67,647.878
68,636.695
69,633.268
70,639.427
71,630.793
72,626.085
73,642.915
74,646.463
75,652.793
76,645.902
77,642.793
78,642.561
79,653.927
80,649.378
81,650.902
82,649.159
83,643.354
84,645.061
85,641.707
86,649.805
87,649.280
88,658.195
89,651.012
90,655.878
91,648.829
92,651.244
93,658.610
94,652.988
95,657.280
96,659.037
97,655.195
98,664.329
99,665.720
100,667.841
101,657.524
102,665.098
103,657.707
104,661.902
105,665.159
106,663.646
107,660.561
108,654.134
109,666.049
110,666.061
111,667.610
112,673.366
113,668.085
114,669.085
115,671.671
116,672.122
117,671.902
118,675.793
119,669.366
120,664.610
121,677.220
122,669.280
123,680.390
124,682.756
125,673.829
126,678.415
127,671.707
128,678.061
129,681.305
130,675.988
131,673.463
132,672.146
133,677.537
134,679.951
135,678.171
136,680.963
137,678.841
138,681.232
139,688.146
140,683.390
141,688.976
142,684.610
143,689.976
144,688.707
145,686.573
146,691.854
147,691.756
148,691.354
149,690.305
150,692.305
151,694.000
152,692.427
153,696.049
154,696.415
155,690.378
156,696.232
157,693.841
158,693.878
159,698.756
160,698.585
161,695.000
162,701.146
163,701.573
164,703.451
165,696.085
166,703.537
167,702.720
168,707.207
169,709.976
170,704.659
171,705.232
172,717.390
173,708.878
174,713.293
175,708.878
176,715.183
177,715.220
178,711.061
179,716.256
180,723.780
181,713.305
182,721.854
183,715.805
184,719.988
185,718.854
186,719.110
187,725.805
188,725.390
189,720.768
190,734.220
191,734.610
192,735.768
193,733.024
194,724.951
195,724.768
196,728.793
197,730.915
198,736.244
199,740.561
200,737.024
201,736.195
202,743.329
203,739.951
204,738.780
205,740.817
206,741.598
207,743.768
208,742.878
209,745.817
210,743.768
211,745.707
212,743.695
213,751.854
214,747.085
215,747.183
216,753.549
217,750.878
218,754.134
219,753.000
220,751.793
221,753.878
222,746.768
223,742.171
224,748.720
225,762.317
226,754.390
227,758.890
228,753.939
229,763.720
230,759.756
231,758.061
232,766.939
233,769.085
234,774.939
235,768.549
236,777.159
237,774.195
238,770.598
239,771.098
240,773.854
241,777.207
242,768.256
243,777.573
244,775.805
245,781.366
246,768.866
247,774.500
248,776.463
249,776.732
250,786.024
251,779.476
252,781.366
253,777.378
254,784.866
255,789.451
256,794.171
257,798.195
258,794.561
259,797.488
260,791.634
261,800.085
262,786.390
263,800.878
264,801.037
265,794.756
266,798.927
267,808.244
268,800.244
269,806.854
270,806.829
271,804.549
272,814.646
273,805.451
274,801.634
275,803.805
276,812.134
277,810.341
278,820.329
279,810.866
280,820.988
281,816.890
282,813.744
283,820.171
284,820.195
285,820.280
286,820.878
287,825.366
288,827.585
289,823.256
290,832.561
291,829.829
292,825.780
293,831.793
294,834.098
295,840.890
296,837.902
297,831.829
298,840.146
299,829.451
300,833.976
301,839.524
302,839.659
303,840.354
304,842.549
305,849.110
306,848.793
307,844.171
308,851.159
309,846.598
310,857.024
311,855.098
312,857.988
313,859.183
314,852.268
315,862.073
316,860.049
317,856.159
318,865.085
319,860.805
320,860.366
321,855.012
322,861.110
323,868.488
324,866.463
325,862.085
326,871.366
327,872.549
328,874.159
329,874.744
330,879.305
331,881.854
332,875.402
333,873.622
334,880.756
335,877.659
336,879.768
337,874.024
338,878.951
339,884.341
340,882.841
341,881.439
342,882.756
343,891.707
344,894.146
345,892.817
346,894.012
347,887.463
348,901.829
349,898.232
350,890.756
351,893.610
352,903.549
353,901.073
354,904.976
355,913.049
356,904.317
357,905.890
358,909.012
359,905.463
360,905.146
361,905.305
362,912.866
363,908.537
364,914.512
365,913.049
366,914.805
367,915.000
368,918.683
369,918.963
370,919.988
371,921.988
372,923.305
373,924.939
374,934.415
375,932.220
376,928.610
377,930.793
378,926.220
379,930.854
380,928.646
381,932.049
382,927.756
383,933.500
384,945.354
385,940.110
386,943.293
387,944.695
388,938.829
389,945.402
390,943.634
391,954.549
392,954.732
393,956.780
394,957.841
395,961.012
396,956.683
397,964.951
398,952.549
399,958.256
400,952.915
401,970.988
402,964.878
403,965.390
404,971.476
405,966.634
406,967.085
407,973.963
408,973.098
409,978.183
410,974.232
411,978.549
412,980.817
413,990.744
414,987.817
415,989.232
416,989.512
417,990.207
418,986.768
419,986.354
420,991.646
421,990.012
422,990.256
423,997.098
424,1004.122
