 ,Value
1,838.732
2,891.695
3,914.585
4,948.317
5,949.707
6,953.280
7,967.049
8,972.927
9,978.207
10,972.439
11,978.341
12,982.402
13,992.341
14,989.707
15,993.073
16,995.793
17,997.049
18,982.939
19,993.390
20,1007.890
21,994.268
22,1006.768
23,1010.976
24,1013.427
25,1011.622
26,1013.866
27,1008.256
28,1013.866
29,1007.890
30,1015.427
31,1011.317
32,1017.610
33,1018.671
34,1012.256
35,1013.183
36,1018.244
37,1016.378
38,1010.573
39,1014.341
40,1017.939
41,1009.500
42,1020.439
43,1023.244
44,1027.012
45,1018.744
46,1027.463
47,1025.707
48,1024.915
49,1028.354
50,1018.683
51,1024.732
52,1030.878
53,1039.305
54,1030.439
55,1033.146
56,1042.122
57,1037.415
58,1026.890
59,1033.390
60,1030.268
61,1025.329
62,1033.768
63,1033.707
64,1036.268
65,1027.085
66,1029.378
67,1037.317
68,1031.000
69,1039.720
70,1035.280
71,1033.098
72,1039.476
73,1039.512
74,1030.768
75,1038.537
76,1039.707
77,1035.341
78,1033.805
79,1036.915
80,1042.500
81,1045.683
82,1048.915
83,1052.341
84,1043.512
85,1040.634
86,1049.000
87,1048.817
88,1040.280
89,1047.256
90,1039.390
91,1041.207
92,1049.073
93,1051.378
94,1046.878
95,1047.146
96,1062.037
97,1041.341
98,1055.561
99,1054.756
100,1044.598
101,1047.622
102,1057.744
103,1057.378
104,1054.146
105,1057.768
106,1060.476
107,1061.378
108,1053.817
109,1058.695
110,1056.805
111,1061.646
112,1065.610
113,1067.561
114,1058.366
115,1069.622
116,1069.866
117,1065.280
118,1062.451
119,1059.695
120,1063.793
121,1061.049
122,1062.439
123,1072.988
124,1065.793
125,1066.768
126,1066.793
127,1068.549
128,1059.878
129,1063.427
130,1065.537
131,1074.049
132,1062.683
133,1067.756
134,1076.110
135,1078.451
136,1078.500
137,1075.598
138,1073.427
139,1072.012
140,1072.061
141,1071.159
142,1080.329
143,1071.866
144,1074.537
145,1074.585
146,1086.037
147,1067.866
148,1076.159
149,1078.683
150,1077.317
151,1079.659
152,1076.244
153,1076.927
154,1083.646
155,1081.720
156,1085.561
157,1079.695
158,1076.378
159,1080.073
160,1087.378
161,1082.037
162,1087.890
163,1089.963
164,1075.110
165,1075.427
166,1094.256
167,1083.951
168,1082.159
169,1083.244
170,1084.037
171,1086.317
172,1094.061
173,1090.878
174,1090.732
175,1089.524
176,1098.000
177,1100.622
178,1097.427
179,1087.049
180,1095.293
181,1096.622
182,1097.671
183,1094.488
184,1097.171
185,1097.220
186,1096.317
187,1101.451
188,1094.256
189,1103.707
190,1099.061
191,1100.720
192,1103.756
193,1101.183
194,1105.768
195,1100.683
196,1112.280
197,1104.146
198,1105.707
199,1105.756
200,1105.585
201,1110.073
202,1106.207
203,1112.220
204,1114.207
205,1111.488
206,1114.049
207,1114.585
208,1115.720
209,1116.171
210,1112.390
211,1124.012
212,1110.390
213,1116.549
214,1109.890
215,1109.073
216,1113.293
217,1120.585
218,1116.732
219,1113.817
220,1116.146
221,1117.329
222,1112.195
223,1119.537
224,1108.329
225,1123.854
226,1111.720
227,1123.866
228,1127.085
229,1128.976
230,1125.732
231,1132.817
232,1120.293
233,1124.134
234,1119.598
235,1129.366
236,1129.780
237,1125.329
238,1120.707
239,1125.134
240,1131.232
241,1137.427
242,1138.378
243,1127.171
244,1142.756
245,1128.098
246,1130.293
247,1132.012
248,1137.732
249,1142.305
250,1134.244
251,1134.671
252,1144.451
253,1137.195
254,1136.634
255,1135.305
256,1136.671
257,1133.037
258,1134.524
259,1146.610
260,1147.488
261,1142.537
262,1138.695
263,1143.244
264,1138.963
265,1144.073
266,1143.915
267,1140.549
268,1146.098
269,1138.963
270,1143.817
271,1147.829
272,1148.159
273,1144.683
274,1145.976
275,1154.951
276,1148.378
277,1142.427
278,1148.220
279,1156.012
280,1155.329
281,1146.939
282,1156.927
283,1144.866
284,1151.841
