 ,Value
1,689.951
2,738.707
3,759.744
4,767.585
5,782.866
6,801.598
7,805.244
8,803.183
9,798.585
10,809.915
11,809.768
12,819.573
13,807.305
14,810.866
15,817.256
16,820.805
17,827.244
18,826.524
19,828.793
20,821.573
21,824.280
22,820.671
23,824.927
24,832.610
25,829.451
26,842.049
27,827.939
28,833.159
29,842.634
30,837.939
31,830.585
32,836.366
33,837.293
34,843.488
35,843.195
36,847.134
37,842.537
38,856.537
39,847.512
40,844.585
41,848.256
42,847.402
43,846.854
44,850.476
45,847.598
46,850.317
47,850.963
48,852.463
49,853.768
50,846.805
51,858.439
52,848.439
53,848.988
54,857.159
55,852.622
56,855.963
57,862.463
58,855.476
59,850.634
60,855.951
61,853.402
62,860.793
63,852.073
64,858.390
65,869.305
66,853.061
67,858.610
68,861.598
69,861.951
70,857.305
71,844.085
72,856.573
73,853.134
74,861.183
75,865.390
76,865.220
77,863.829
78,864.244
79,869.793
80,863.610
81,871.049
82,878.232
83,872.256
84,875.878
85,869.573
86,869.098
87,870.659
88,867.951
89,864.915
90,873.085
91,866.841
92,867.988
93,875.951
94,871.146
95,872.171
96,879.866
97,876.244
98,879.793
99,874.951
100,879.659
101,875.207
102,878.488
103,885.939
104,884.683
105,879.671
106,887.354
107,880.768
108,877.463
109,880.573
110,884.305
111,886.866
112,874.805
113,887.866
114,888.585
115,888.939
116,878.280
117,896.000
118,882.841
119,888.854
120,891.110
121,890.829
122,881.866
123,886.488
124,894.890
125,892.695
126,898.146
127,890.963
128,898.646
129,900.390
130,895.402
131,896.402
132,884.329
133,897.049
134,895.610
135,898.634
136,898.598
137,908.573
138,902.488
139,899.085
140,898.756
141,901.610
142,908.720
143,902.537
144,900.939
145,899.329
146,900.280
147,911.988
148,900.780
149,907.110
150,911.659
151,908.000
152,911.159
153,902.256
154,908.341
155,914.902
156,909.646
157,911.634
158,908.122
159,911.354
160,913.927
161,913.659
162,921.561
163,918.012
164,913.988
165,917.256
166,922.085
167,905.756
168,925.451
169,915.707
170,919.317
171,920.207
172,924.207
173,921.159
174,920.915
175,932.134
176,922.646
177,925.817
178,930.780
179,926.549
180,921.610
181,924.012
182,926.805
183,928.024
184,932.122
185,931.585
186,931.207
187,934.976
188,930.732
189,938.927
190,933.329
191,937.573
192,923.390
193,930.061
194,938.354
195,943.976
196,936.610
197,942.037
198,934.915
199,938.476
200,940.024
201,939.415
202,941.573
203,942.390
204,944.024
205,942.744
206,938.902
207,949.610
208,946.988
209,938.366
210,946.098
211,943.122
212,945.354
213,945.049
214,944.037
215,951.415
216,954.134
217,951.500
218,956.000
219,955.134
220,946.402
221,956.585
222,956.366
223,958.610
224,959.756
225,959.354
226,953.841
227,966.768
228,964.073
229,956.427
230,962.378
231,958.768
232,966.134
233,958.037
234,962.110
235,959.293
236,958.634
237,955.939
238,960.768
239,953.720
240,971.439
241,961.329
242,971.415
243,969.171
244,966.598
245,973.317
246,983.902
247,975.183
248,970.524
249,973.402
250,974.976
251,974.866
252,980.915
253,976.244
254,981.805
255,980.585
256,987.122
257,990.378
258,987.780
259,980.256
260,981.220
261,985.073
262,989.341
263,988.537
264,989.000
265,989.671
266,986.073
267,984.524
268,989.146
269,990.427
270,998.439
271,995.000
272,1002.805
273,1002.634
274,997.939
275,991.195
276,984.939
277,996.902
278,995.671
279,997.000
280,994.012
281,1000.976
282,1005.366
283,1002.732
284,1003.146
285,1000.024
286,992.878
287,1011.037
288,1011.146
289,999.049
290,1008.439
291,1005.134
292,1011.585
293,1011.061
294,1019.561
295,1008.146
296,1008.195
297,1021.037
298,1018.488
299,1012.939
300,1014.280
301,1008.159
302,1023.829
303,1021.902
304,1018.756
305,1017.500
306,1017.451
307,1018.805
308,1015.695
309,1029.951
310,1024.207
311,1025.085
312,1029.890
313,1031.488
314,1020.256
315,1019.280
316,1025.220
317,1029.329
318,1026.000
319,1028.451
320,1027.451
321,1040.268
322,1029.378
323,1032.951
324,1032.841
325,1039.000
326,1037.902
327,1034.451
328,1029.854
329,1037.695
330,1037.439
331,1040.293
332,1039.512
333,1044.415
334,1025.890
335,1031.134
336,1026.707
337,1042.256
338,1043.305
339,1043.866
340,1043.390
341,1045.341
342,1057.841
343,1055.183
344,1054.280
345,1047.280
346,1051.146
347,1053.171
348,1053.390
349,1057.085
350,1049.585
351,1046.634
352,1057.585
353,1058.756
354,1051.305
355,1043.024
356,1054.573
357,1046.061
358,1057.598
359,1055.390
360,1063.037
361,1063.695
362,1048.329
363,1054.024
364,1055.073
365,1067.049
366,1063.561
367,1062.244
368,1064.427
369,1070.622
370,1064.110
371,1058.354
372,1074.963
373,1080.902
374,1078.305
375,1065.049
376,1061.841
377,1064.707
378,1066.000
379,1071.402
380,1077.341
381,1083.049
382,1075.610
383,1082.537
384,1078.793
385,1084.280
386,1085.232
387,1085.427
388,1087.220
389,1085.817
390,1084.707
391,1087.232
392,1086.500
393,1086.537
394,1089.573
395,1092.146
396,1095.110
397,1095.085
398,1086.866
399,1090.512
400,1095.707
401,1102.012
402,1098.476
403,1102.646
404,1110.037
405,1100.293
406,1095.610
407,1101.000
408,1106.439
409,1090.061
410,1102.500
411,1103.756
412,1096.915
413,1108.695
414,1102.378
415,1100.610
416,1114.695
417,1109.744
418,1117.037
419,1099.354
420,1105.793
421,1108.402
422,1109.805
423,1116.878
424,1111.793
425,1115.451
426,1113.866
427,1118.220
428,1113.171
429,1118.927
430,1116.707
431,1122.293
432,1120.329
433,1122.244
434,1115.671
435,1127.476
436,1118.915
437,1132.317
438,1126.402
439,1122.439
440,1129.610
441,1127.854
442,1140.976
443,1130.000
444,1124.732
445,1132.610
446,1129.878
447,1130.915
448,1134.488
449,1126.000
450,1130.671
451,1130.768
452,1129.634
453,1126.549
454,1129.902
455,1138.390
456,1126.146
457,1124.793
458,1132.500
459,1131.146
460,1128.378
461,1129.817
462,1125.878
463,1127.829
464,1138.866
465,1144.122
466,1131.451
467,1139.451
468,1139.171
469,1137.244
470,1138.134
471,1140.341
472,1140.073
473,1141.220
474,1138.829
475,1138.902
476,1155.195
477,1150.549
478,1152.037
479,1148.829
480,1150.305
481,1147.500
482,1148.037
483,1151.000
484,1169.244
485,1150.390
486,1153.695
487,1153.280
488,1152.988
489,1156.402
490,1158.512
491,1168.817
492,1165.829
493,1165.878
494,1166.451
495,1175.280
496,1172.829
497,1171.585
498,1178.585
499,1176.366
500,1186.524
501,1177.768
502,1175.402
503,1184.890
504,1179.756
505,1186.768
506,1187.098
507,1183.085
508,1189.451
509,1185.829
510,1191.537
511,1188.244
512,1195.707
513,1188.768
514,1190.195
515,1191.476
516,1183.049
517,1194.207
518,1199.366
519,1211.183
520,1201.878
521,1199.463
522,1201.902
523,1204.146
524,1209.073
525,1191.793
526,1194.939
527,1191.268
528,1206.707
529,1198.744
530,1203.939
531,1210.890
532,1212.988
533,1207.756
534,1215.622
535,1217.622
536,1214.305
537,1205.549
538,1227.427
539,1219.707
540,1224.927
541,1219.012
542,1219.146
543,1217.402
544,1222.402
545,1221.280
546,1222.585
547,1225.122
548,1237.207
549,1231.866
550,1221.232
551,1225.098
552,1218.805
553,1235.146
554,1233.549
555,1232.232
556,1233.427
557,1222.085
558,1227.427
559,1233.329
560,1240.232
561,1234.915
562,1239.805
563,1234.122
564,1237.134
565,1239.402
566,1241.854
567,1235.890
568,1249.500
569,1244.768
570,1255.012
571,1247.915
572,1250.817
573,1258.280
574,1247.902
575,1242.463
576,1239.110
577,1247.183
578,1247.780
579,1239.829
580,1246.988
581,1256.366
582,1258.110
583,1261.195
584,1269.610
585,1251.805
586,1255.159
587,1261.256
588,1251.939
589,1260.744
590,1266.037
591,1265.720
592,1255.427
593,1261.427
594,1245.841
595,1263.634
596,1257.024
597,1265.561
598,1272.817
599,1264.488
600,1266.939
601,1268.780
602,1271.915
603,1280.000
604,1268.951
605,1287.573
606,1288.232
607,1280.610
608,1267.939
609,1284.622
610,1280.073
611,1279.841
612,1269.890
613,1278.707
614,1285.012
615,1277.329
616,1277.098
617,1291.280
618,1287.805
619,1290.317
620,1284.232
621,1276.220
622,1286.378
623,1283.390
624,1285.768
625,1297.512
626,1291.976
627,1296.317
628,1292.232
629,1286.622
630,1289.122
631,1289.805
632,1292.439
633,1294.451
634,1297.634
635,1299.988
636,1291.720
637,1294.463
638,1305.171
639,1301.183
640,1298.500
641,1296.951
642,1301.963
643,1296.488
644,1300.378
645,1309.122
646,1309.549
647,1305.610
648,1311.049
649,1303.232
650,1305.646
651,1302.756
652,1311.488
653,1303.232
654,1306.390
655,1312.488
656,1309.390
657,1313.415
658,1322.524
659,1311.512
660,1317.183
661,1319.878
662,1322.451
663,1323.573
664,1329.500
665,1325.598
666,1332.390
667,1333.427
668,1327.854
669,1331.354
670,1317.744
671,1335.000
672,1332.598
673,1324.951
674,1326.390
675,1337.671
676,1335.915
677,1343.829
678,1328.378
679,1340.171
680,1338.037
681,1334.707
682,1332.671
683,1332.098
684,1335.500
685,1349.561
686,1340.598
687,1334.707
688,1340.402
689,1339.854
690,1340.256
691,1343.488
692,1332.671
693,1341.439
694,1349.329
695,1342.012
696,1339.927
697,1349.549
698,1350.963
699,1338.854
700,1341.585
701,1347.829
702,1343.585
703,1345.256
704,1353.744
705,1347.268
