 ,Value
1,558.512
2,597.488
3,608.805
4,630.378
5,641.280
6,638.939
7,652.268
8,662.024
9,657.476
10,669.159
11,663.732
12,668.098
13,673.817
14,670.683
15,675.012
16,675.524
17,671.232
18,675.476
19,674.256
20,681.707
21,674.476
22,680.695
23,680.256
24,680.451
25,683.878
26,683.707
27,684.207
28,686.598
29,684.110
30,682.390
31,689.598
32,692.220
33,686.293
34,697.524
35,693.939
36,685.963
37,678.902
38,694.427
39,694.378
40,695.073
41,686.768
42,695.939
43,697.256
44,691.805
45,692.512
46,692.171
47,689.817
48,697.024
49,701.110
50,701.159
51,703.207
52,703.841
53,704.671
54,696.817
55,703.073
56,703.561
57,694.317
58,687.512
59,696.146
60,713.902
61,706.573
62,697.707
63,705.768
64,709.976
65,708.768
66,702.732
67,711.512
68,708.927
69,703.024
70,706.329
71,695.110
72,702.439
73,705.829
74,709.463
75,715.476
76,711.610
77,713.976
78,715.573
79,716.366
80,718.951
81,718.329
82,709.634
83,703.341
84,716.610
85,717.427
86,708.280
87,703.768
88,711.512
89,711.524
90,712.512
91,719.780
92,718.183
93,720.829
94,726.073
95,719.890
96,725.512
97,724.659
98,730.415
99,725.256
100,724.244
101,726.707
102,725.598
103,725.646
104,732.049
105,729.512
106,733.012
107,728.622
108,728.293
109,734.927
110,730.146
111,736.500
112,734.732
113,734.500
114,737.000
115,734.659
116,733.854
117,734.573
118,739.695
119,729.305
120,745.939
121,739.390
122,747.183
123,742.976
124,748.463
125,744.512
126,748.732
127,735.427
128,753.500
129,737.512
130,742.732
131,744.427
132,741.573
133,744.817
134,748.049
135,749.402
136,740.646
137,748.646
138,750.598
139,747.585
140,749.902
141,755.341
142,759.159
143,763.207
144,760.720
145,762.012
146,755.049
147,758.354
148,751.854
149,767.195
150,766.951
151,755.512
152,760.878
153,754.476
154,766.256
155,758.793
156,749.744
157,770.622
158,765.244
159,760.073
160,758.171
161,761.598
162,767.622
163,765.585
164,765.159
165,761.378
166,775.012
167,764.549
168,766.963
