 ,Value
1,832.134
2,877.012
3,907.524
4,921.402
5,926.915
6,944.317
7,949.695
8,956.354
9,962.585
10,957.159
11,960.244
12,955.256
13,960.780
14,966.012
15,978.122
16,974.427
17,977.902
18,974.695
19,985.280
20,985.793
21,987.878
22,990.683
23,984.756
24,982.695
25,996.207
26,988.939
27,988.110
28,990.817
29,989.159
30,985.500
31,996.780
32,994.793
33,994.451
34,1001.317
35,998.415
36,1004.122
37,995.110
38,1000.793
39,999.341
40,1001.866
41,1000.866
42,991.305
43,1002.451
44,1001.915
45,1005.183
46,1009.049
47,1008.793
48,1015.756
49,1007.146
50,1003.171
51,998.061
52,1003.585
53,1001.171
54,1007.951
55,1012.183
56,1008.500
57,1007.866
58,1009.171
59,1009.073
60,1015.671
61,1013.366
62,1018.463
63,1018.902
64,1012.232
65,1013.927
66,1015.378
67,1017.427
68,1015.829
69,1018.024
70,1011.585
71,1002.841
72,1011.305
73,1009.329
74,1021.134
75,1021.500
76,1033.476
77,1016.878
78,1028.549
79,1028.720
80,1016.366
81,1020.659
82,1024.841
83,1025.415
84,1022.829
85,1031.402
86,1029.976
87,1022.915
88,1028.988
89,1033.561
90,1023.402
91,1011.756
92,1026.902
93,1027.366
94,1031.037
95,1029.829
96,1032.317
97,1033.878
98,1037.720
99,1033.744
100,1034.744
101,1040.585
102,1038.988
103,1033.659
104,1043.366
105,1037.366
106,1044.561
107,1031.598
108,1038.220
109,1042.707
110,1045.049
111,1040.659
112,1041.354
113,1036.427
114,1037.305
115,1038.890
116,1046.671
117,1052.000
118,1046.402
119,1051.854
120,1054.695
121,1042.720
122,1045.037
123,1046.988
124,1048.207
125,1044.463
126,1046.598
127,1048.195
128,1048.159
129,1047.951
130,1055.915
131,1047.268
132,1047.537
133,1051.415
134,1056.963
135,1051.841
136,1053.707
137,1055.963
138,1060.000
139,1059.085
140,1063.207
141,1053.329
142,1065.756
143,1054.049
144,1056.841
145,1058.756
146,1062.793
147,1051.268
148,1063.915
149,1058.366
150,1062.171
151,1061.439
152,1057.720
153,1063.902
154,1069.622
155,1075.756
156,1064.000
157,1059.598
158,1062.171
159,1058.415
160,1068.927
161,1063.232
162,1062.512
163,1072.134
164,1059.988
165,1064.805
166,1074.244
167,1067.329
168,1064.171
169,1070.293
170,1079.695
171,1070.561
172,1073.256
173,1075.829
174,1065.293
175,1075.232
176,1072.866
177,1072.171
178,1081.878
179,1080.195
180,1075.927
181,1083.756
182,1084.707
183,1084.220
184,1082.012
185,1080.585
186,1080.171
187,1080.171
188,1077.573
189,1090.854
190,1089.293
191,1082.659
192,1085.037
193,1082.622
194,1085.695
195,1088.951
196,1083.122
197,1085.598
198,1100.171
199,1096.402
200,1087.622
201,1091.866
202,1075.415
203,1091.512
204,1097.817
205,1094.415
206,1099.561
207,1097.098
208,1095.085
209,1093.756
210,1095.244
211,1092.768
212,1092.573
213,1102.622
214,1104.232
215,1099.488
216,1109.146
217,1092.280
218,1101.512
219,1106.183
220,1099.610
221,1104.841
222,1103.780
223,1100.195
224,1104.159
225,1102.622
226,1099.768
227,1109.110
228,1111.085
229,1113.963
230,1116.476
231,1110.805
232,1110.268
233,1105.146
234,1108.854
235,1108.500
236,1107.341
237,1117.720
238,1118.915
239,1107.354
240,1111.159
241,1119.695
242,1110.939
243,1116.000
244,1120.341
245,1116.073
246,1114.707
247,1119.183
248,1116.683
249,1122.524
250,1117.866
251,1113.854
252,1117.573
253,1118.585
254,1120.841
255,1120.866
256,1129.976
257,1124.659
258,1121.683
259,1119.976
260,1122.890
261,1122.537
262,1121.134
263,1123.659
264,1131.512
265,1135.122
266,1130.073
267,1138.963
268,1127.293
269,1131.171
270,1129.451
271,1141.049
272,1141.012
273,1134.146
274,1135.671
275,1135.427
276,1133.268
277,1136.585
278,1132.683
279,1137.793
280,1135.951
281,1145.366
282,1147.902
283,1136.195
284,1146.866
285,1144.622
286,1145.829
287,1142.268
288,1142.951
289,1138.085
290,1134.915
291,1142.744
292,1144.720
293,1145.329
294,1142.378
295,1153.634
296,1147.232
297,1149.220
298,1153.854
299,1152.427
300,1153.317
301,1142.707
302,1159.134
303,1151.976
304,1153.329
305,1154.524
306,1155.415
307,1155.963
308,1151.098
309,1154.671
310,1158.341
311,1149.110
312,1162.768
313,1155.866
314,1154.390
315,1163.061
316,1153.671
317,1161.744
318,1153.000
319,1160.463
320,1158.085
321,1145.049
322,1156.646
323,1165.573
324,1151.232
325,1162.268
326,1159.817
327,1156.488
328,1171.146
329,1168.805
330,1163.671
331,1160.976
332,1162.951
333,1164.134
334,1159.207
335,1168.500
336,1164.220
337,1173.463
338,1167.780
339,1175.561
340,1173.037
341,1167.707
342,1174.427
343,1169.500
344,1173.646
345,1180.878
346,1174.829
347,1173.524
348,1182.610
349,1170.549
350,1187.122
351,1171.329
352,1180.427
353,1180.537
354,1179.171
355,1171.561
356,1178.963
357,1181.646
358,1186.537
359,1178.402
360,1174.695
361,1169.915
362,1178.390
363,1173.390
364,1173.939
365,1179.439
366,1180.195
367,1179.195
368,1184.085
369,1185.939
370,1185.695
371,1185.976
372,1188.902
373,1183.427
374,1183.524
375,1190.012
376,1191.220
377,1194.268
378,1192.951
379,1191.659
380,1184.000
381,1198.195
382,1196.463
383,1185.634
384,1195.817
385,1185.732
386,1190.512
387,1191.939
388,1185.659
389,1199.000
390,1193.988
391,1205.476
392,1186.561
393,1202.854
394,1207.024
395,1201.817
396,1205.927
397,1206.195
398,1203.585
399,1200.451
400,1207.402
401,1211.780
402,1215.220
403,1205.927
404,1203.317
405,1200.744
406,1205.341
407,1211.463
408,1215.183
409,1203.512
410,1206.366
411,1222.524
412,1212.573
413,1212.598
414,1207.305
415,1218.000
416,1221.171
417,1211.098
418,1214.244
419,1212.244
420,1215.939
421,1213.671
422,1212.415
423,1222.000
424,1217.793
425,1225.720
426,1220.829
427,1212.256
428,1226.329
429,1229.512
430,1213.963
431,1222.146
432,1213.866
433,1221.488
434,1227.829
435,1229.793
436,1220.634
437,1234.634
438,1230.598
439,1226.195
440,1227.829
441,1228.232
442,1228.841
443,1222.366
444,1227.695
445,1231.220
446,1232.720
447,1231.402
448,1238.915
449,1226.159
450,1223.598
451,1222.780
452,1230.549
453,1222.756
454,1237.146
455,1229.232
456,1224.683
457,1213.195
458,1233.585
459,1235.585
460,1211.451
461,1216.805
462,1223.841
463,1224.744
464,1227.439
465,1228.390
466,1217.549
467,1223.000
468,1228.476
469,1216.805
470,1220.012
471,1225.110
472,1229.805
473,1231.927
474,1230.634
475,1235.122
476,1234.037
477,1243.951
478,1245.061
479,1232.415
480,1238.329
481,1229.366
482,1244.549
483,1235.695
484,1239.341
485,1231.866
486,1237.207
487,1240.963
488,1247.646
489,1247.671
490,1259.854
491,1255.463
492,1246.317
493,1248.805
494,1248.805
495,1245.280
496,1248.476
497,1250.476
498,1248.146
499,1254.439
500,1260.805
501,1254.024
502,1258.549
503,1264.402
504,1269.354
505,1263.720
506,1259.927
507,1261.671
508,1258.427
509,1256.976
510,1258.488
511,1266.744
512,1257.268
513,1258.402
514,1267.366
515,1279.537
516,1267.988
517,1271.073
518,1284.195
519,1280.549
520,1285.134
521,1270.622
522,1276.573
523,1277.476
524,1286.732
525,1282.634
526,1276.915
527,1278.366
528,1281.720
529,1278.732
530,1278.366
531,1277.293
532,1283.061
533,1276.098
534,1280.793
535,1284.573
536,1275.902
537,1271.280
538,1277.293
539,1279.378
540,1274.817
541,1292.427
542,1285.951
543,1276.427
544,1284.159
545,1280.951
546,1289.537
547,1286.049
548,1288.695
549,1283.963
550,1288.488
551,1277.793
552,1284.195
553,1289.390
554,1288.415
555,1287.585
556,1290.439
557,1288.756
558,1286.122
559,1293.890
560,1293.720
561,1293.183
562,1298.488
563,1298.524
564,1296.439
565,1289.427
566,1288.756
567,1295.232
568,1296.720
569,1299.622
570,1300.037
571,1297.366
572,1311.280
573,1303.415
574,1300.439
575,1294.085
576,1304.329
577,1312.378
578,1300.232
579,1296.756
580,1307.232
581,1298.854
582,1304.890
583,1305.646
584,1308.598
585,1308.232
586,1302.366
587,1305.280
588,1302.134
589,1314.293
590,1308.378
591,1310.854
592,1314.317
593,1317.207
594,1313.402
595,1306.598
596,1310.720
597,1306.280
598,1320.146
599,1315.622
600,1318.098
601,1314.207
602,1328.171
603,1316.707
604,1326.427
605,1316.817
606,1319.695
607,1318.220
608,1316.866
609,1324.671
610,1312.512
611,1318.634
612,1316.671
613,1323.232
614,1320.768
615,1324.293
616,1329.415
617,1333.354
618,1320.354
619,1327.841
620,1319.500
621,1322.012
622,1333.793
623,1324.402
624,1318.159
625,1312.244
626,1325.500
627,1321.280
628,1318.585
629,1330.000
630,1320.976
631,1337.159
632,1324.976
633,1338.329
634,1331.402
635,1335.122
636,1339.049
637,1335.183
638,1333.390
639,1336.756
640,1338.671
641,1337.732
642,1337.037
643,1332.183
644,1332.390
645,1333.390
646,1331.122
647,1325.573
648,1337.768
649,1337.293
650,1340.171
651,1345.329
652,1348.244
653,1339.488
654,1339.354
655,1337.024
656,1339.585
657,1347.598
658,1338.073
659,1333.707
660,1343.037
661,1352.415
662,1342.317
663,1340.988
664,1344.915
665,1349.476
666,1349.707
667,1338.463
668,1339.195
669,1349.000
670,1342.915
671,1343.049
672,1351.512
673,1349.329
674,1357.049
675,1335.024
676,1351.585
677,1341.000
678,1353.159
679,1355.390
680,1360.439
681,1347.195
682,1352.549
683,1358.732
684,1353.573
685,1360.976
686,1353.707
687,1356.012
688,1364.305
689,1343.305
690,1356.488
691,1355.841
692,1357.183
693,1347.707
694,1356.183
695,1361.427
696,1365.305
697,1358.707
698,1364.256
699,1356.780
700,1358.134
701,1366.085
702,1363.634
703,1353.793
704,1358.171
705,1358.963
706,1365.012
707,1356.512
