 ,Value
1,645.622
2,681.268
3,701.671
4,715.171
5,725.695
6,731.171
7,736.817
8,745.732
9,750.671
10,757.317
11,760.085
12,758.293
13,748.268
14,763.146
15,766.085
16,760.439
17,762.329
18,772.037
19,771.671
20,762.598
21,770.695
22,773.134
23,772.390
24,773.780
25,776.634
26,769.073
27,772.110
28,775.573
29,779.585
30,777.720
31,782.659
32,778.915
33,779.427
34,789.085
35,781.220
36,790.817
37,786.354
38,791.195
39,787.902
40,791.927
41,787.220
42,792.866
43,785.951
44,779.402
45,783.549
46,787.110
47,785.817
48,785.720
49,790.366
50,795.122
51,791.488
52,788.951
53,794.854
54,791.951
55,796.244
56,796.549
57,798.378
58,789.390
59,786.354
60,790.098
61,796.561
62,795.183
63,794.537
64,799.927
65,792.220
66,799.134
67,792.256
68,794.073
69,798.195
70,798.561
71,793.232
72,789.378
73,805.183
74,805.220
75,810.927
76,803.439
77,809.390
78,799.427
79,812.122
80,811.902
81,810.512
82,813.805
83,810.768
84,805.890
85,819.280
86,808.390
87,806.890
88,811.073
89,815.037
90,818.305
91,810.232
92,818.329
93,817.390
94,822.402
95,820.659
96,816.854
97,816.049
98,819.537
99,818.171
100,830.207
101,820.927
102,821.573
103,819.439
104,825.037
105,816.183
106,824.488
107,826.927
108,819.659
109,829.610
110,824.207
111,828.244
112,832.171
113,824.976
114,828.390
115,826.951
116,828.171
117,831.329
118,832.512
119,828.902
120,832.305
121,833.683
122,831.390
123,831.085
124,836.268
125,833.524
126,835.634
127,839.671
128,838.146
129,826.902
130,840.963
131,831.159
132,839.159
133,825.646
134,838.378
135,840.463
136,829.829
137,833.793
138,838.585
139,841.732
140,839.317
141,837.634
142,843.183
143,850.000
144,850.122
145,846.061
146,847.988
147,847.341
148,843.256
149,844.939
150,842.427
151,841.476
152,846.012
153,845.110
154,845.220
155,850.732
156,856.829
157,852.915
158,859.256
159,850.049
160,853.951
161,845.085
162,852.098
163,860.476
164,860.085
165,855.780
166,855.220
167,860.073
168,862.805
169,862.500
170,859.012
171,865.415
172,861.707
173,866.000
174,866.488
175,866.268
176,872.390
177,868.220
178,863.659
179,871.585
180,876.829
181,866.402
182,868.195
183,870.646
184,880.110
185,871.659
186,875.720
187,886.720
188,880.793
189,881.256
190,874.280
191,874.963
192,878.451
193,874.232
194,889.585
195,883.415
196,883.183
197,881.720
198,888.195
199,884.537
200,892.134
201,887.854
202,887.610
203,890.220
204,894.500
205,892.000
206,883.256
207,893.073
208,889.549
209,890.293
210,898.646
211,901.524
212,892.415
213,890.024
214,889.646
215,901.366
216,899.439
217,895.780
218,893.744
219,900.159
220,901.890
221,898.159
222,887.951
223,904.610
224,899.207
225,898.537
226,910.207
227,903.963
228,907.500
229,901.720
230,899.220
231,903.793
232,912.463
233,909.195
234,908.695
235,911.415
236,906.244
237,905.976
238,922.695
239,917.695
240,908.220
241,917.317
242,920.024
243,918.232
244,915.659
245,911.695
246,926.195
247,926.146
248,922.024
249,920.768
250,925.610
251,933.878
252,929.634
253,930.817
254,922.476
255,925.841
256,926.988
257,927.951
258,938.110
259,931.341
260,936.098
261,934.866
262,932.768
263,930.073
264,938.000
265,934.512
266,936.500
267,938.159
268,945.073
269,940.915
270,940.793
271,940.232
272,944.817
273,944.134
274,948.049
275,945.610
276,939.305
277,949.598
278,951.256
279,954.159
280,947.707
281,952.244
282,955.037
283,951.756
284,957.720
285,954.073
286,952.427
287,952.890
288,955.220
289,952.476
290,955.256
291,957.963
292,958.841
293,965.159
294,962.171
295,968.220
296,965.634
297,958.939
298,968.280
299,961.146
300,970.939
301,964.207
302,973.415
303,970.902
304,976.354
305,979.317
306,965.829
307,980.683
308,976.720
309,984.756
310,983.024
311,973.610
312,983.171
313,978.232
314,980.073
315,983.988
316,980.927
317,980.500
318,989.524
319,986.951
320,988.573
321,984.110
322,990.402
323,986.500
324,980.610
325,987.841
326,988.427
327,987.366
328,993.098
329,995.183
330,990.561
331,986.439
332,990.293
333,992.207
334,999.024
335,986.598
336,990.110
337,998.341
338,994.085
339,1002.476
340,992.829
341,997.671
342,1005.537
343,1008.512
344,1003.244
345,1012.061
346,1012.024
347,1012.037
348,1011.951
349,1003.780
350,1010.963
351,1020.439
352,1007.854
353,1010.976
354,1009.402
355,1014.500
356,1018.805
357,1016.707
358,1015.902
359,1015.549
360,1014.854
361,1016.939
362,1009.780
363,1016.000
364,1020.805
365,1015.366
366,1017.683
367,1023.244
368,1024.378
369,1022.439
370,1030.415
371,1017.037
372,1028.244
373,1024.561
374,1028.024
375,1031.659
376,1027.098
377,1031.573
378,1039.220
379,1038.085
380,1036.939
381,1032.280
382,1042.256
383,1046.415
384,1031.671
385,1036.293
386,1045.463
387,1046.878
388,1054.085
389,1049.037
390,1055.817
391,1056.854
392,1058.049
393,1036.402
394,1048.902
395,1055.256
396,1058.878
397,1044.805
398,1056.171
399,1051.268
400,1052.683
401,1059.537
402,1054.805
403,1065.244
404,1066.817
405,1066.573
406,1068.500
407,1070.610
408,1071.720
409,1068.659
410,1070.537
411,1069.268
412,1064.573
413,1070.610
414,1071.768
415,1078.366
416,1082.488
417,1070.354
418,1069.439
419,1076.256
420,1076.610
421,1073.317
422,1076.817
423,1085.939
424,1083.915
425,1084.671
426,1078.037
427,1088.854
428,1081.488
429,1087.512
430,1087.841
431,1095.610
432,1086.524
433,1092.024
434,1091.159
435,1102.037
436,1099.098
437,1097.610
438,1104.451
439,1096.805
440,1099.744
441,1096.695
442,1098.268
443,1090.866
444,1104.439
445,1102.463
446,1101.902
447,1099.780
448,1110.159
449,1103.854
450,1104.805
451,1097.415
452,1096.512
453,1096.585
454,1101.476
455,1097.780
456,1095.659
457,1102.951
458,1092.890
459,1088.500
460,1097.268
461,1101.268
462,1101.707
463,1099.671
464,1104.268
465,1108.476
466,1108.805
467,1105.561
468,1117.854
469,1097.854
470,1124.159
471,1111.707
472,1115.793
473,1109.902
474,1107.500
475,1120.707
476,1124.220
477,1124.854
478,1128.646
479,1133.585
480,1126.268
481,1126.951
482,1129.793
483,1137.329
484,1137.561
485,1133.976
486,1134.976
487,1137.329
488,1137.415
489,1125.207
490,1142.171
491,1135.220
492,1149.585
493,1148.122
494,1144.671
495,1152.756
496,1150.268
497,1160.573
498,1150.232
499,1153.524
500,1153.122
501,1153.780
502,1158.000
503,1157.598
504,1159.256
505,1160.793
506,1165.634
507,1160.829
508,1173.817
509,1177.341
510,1164.037
511,1168.329
512,1172.573
513,1165.500
514,1175.280
515,1165.220
516,1167.634
517,1185.390
518,1176.549
519,1178.122
520,1172.854
521,1177.122
522,1192.598
523,1185.171
524,1187.878
525,1186.659
526,1184.610
527,1182.939
528,1192.451
529,1194.878
530,1193.610
531,1196.500
532,1188.476
533,1191.171
534,1192.220
535,1189.512
536,1189.780
537,1192.183
538,1185.512
539,1194.720
540,1191.646
541,1200.329
542,1206.439
543,1203.280
544,1212.756
545,1204.549
546,1210.341
547,1209.037
548,1204.476
549,1203.159
550,1207.207
551,1205.402
552,1208.902
553,1212.793
554,1215.598
555,1206.110
556,1215.817
557,1211.207
558,1209.817
559,1215.073
560,1222.341
561,1224.695
562,1207.976
563,1227.280
564,1220.988
565,1219.841
566,1224.037
567,1231.732
568,1225.317
569,1228.610
570,1226.573
571,1233.024
572,1226.902
573,1236.329
574,1229.524
575,1225.098
576,1241.171
577,1228.780
578,1243.768
579,1235.683
580,1240.024
581,1249.463
582,1239.707
583,1252.927
584,1243.183
585,1249.939
586,1253.061
587,1254.390
588,1249.671
589,1257.427
590,1256.817
591,1258.110
592,1253.354
593,1255.780
594,1256.988
595,1255.817
596,1262.659
597,1255.756
598,1259.707
599,1255.415
600,1245.573
601,1260.207
602,1267.220
603,1264.463
604,1258.622
605,1269.841
606,1266.939
607,1266.329
608,1265.085
609,1266.134
610,1271.207
611,1276.341
612,1268.427
613,1274.354
614,1263.366
615,1274.085
616,1271.427
617,1270.963
618,1284.073
619,1279.524
620,1272.146
621,1272.415
622,1282.549
623,1287.744
624,1294.220
625,1282.927
626,1284.988
627,1293.000
628,1293.927
629,1285.561
630,1283.476
631,1288.134
632,1286.622
633,1298.232
634,1286.561
635,1292.793
636,1288.488
637,1295.037
638,1299.866
639,1300.988
640,1309.049
641,1299.183
642,1300.000
643,1306.037
644,1307.037
645,1305.573
646,1309.305
647,1307.366
648,1302.537
649,1312.805
650,1309.049
651,1309.244
652,1309.268
653,1298.317
654,1314.207
655,1316.854
656,1325.280
657,1317.988
658,1320.341
659,1305.561
660,1322.439
661,1320.463
662,1309.585
663,1313.622
664,1319.902
665,1324.524
666,1319.683
667,1323.817
668,1328.463
669,1334.305
670,1332.707
671,1331.988
672,1323.780
673,1329.854
674,1335.756
675,1326.963
676,1339.866
677,1335.866
678,1325.659
679,1331.915
680,1341.732
681,1333.354
682,1322.695
683,1336.512
684,1343.854
685,1351.976
686,1337.780
687,1345.244
688,1341.024
689,1341.720
690,1351.695
691,1345.695
692,1348.390
693,1349.341
694,1343.415
695,1347.573
696,1362.500
697,1349.378
698,1343.659
699,1342.610
700,1351.390
701,1361.744
702,1358.463
703,1362.659
704,1354.793
705,1364.402
706,1357.159
707,1362.841
708,1371.354
709,1364.305
710,1366.671
711,1363.756
712,1373.268
713,1362.268
714,1371.256
715,1372.329
716,1362.293
717,1373.171
718,1376.646
719,1378.768
720,1368.049
721,1375.256
722,1369.244
723,1371.841
724,1370.756
725,1375.634
726,1372.000
727,1382.280
728,1383.207
729,1385.256
730,1392.537
731,1391.000
732,1385.207
733,1385.012
734,1378.561
735,1380.341
736,1382.866
737,1389.915
738,1382.110
739,1383.256
740,1384.915
741,1391.598
742,1391.841
743,1378.780
744,1387.024
745,1388.037
746,1397.512
747,1383.573
748,1403.805
749,1392.293
750,1392.695
751,1403.183
752,1399.817
753,1390.561
754,1401.671
755,1403.268
756,1397.000
757,1400.951
758,1406.585
759,1407.549
760,1405.585
761,1395.366
762,1401.134
763,1405.439
764,1406.256
765,1398.780
766,1398.000
767,1409.646
768,1408.622
769,1418.927
770,1404.732
771,1405.146
772,1406.634
773,1420.585
774,1415.232
775,1409.293
776,1405.878
777,1405.232
778,1411.256
779,1427.061
780,1423.756
781,1408.756
782,1418.220
783,1422.280
784,1416.659
785,1417.232
786,1415.354
787,1419.341
788,1422.695
789,1422.415
790,1432.549
791,1430.439
792,1426.280
793,1425.159
794,1424.378
795,1437.610
796,1422.817
797,1430.012
798,1427.829
799,1438.171
800,1427.207
801,1435.732
802,1440.805
803,1425.280
804,1431.439
805,1428.610
806,1435.122
807,1441.463
808,1441.671
809,1437.549
810,1430.317
811,1439.244
812,1434.707
813,1437.537
814,1433.378
815,1450.610
816,1438.305
817,1441.841
818,1440.744
819,1431.988
820,1446.146
821,1438.451
822,1450.695
823,1432.341
824,1435.720
825,1439.061
826,1439.476
827,1440.622
828,1434.866
829,1457.073
830,1450.659
831,1432.707
832,1449.134
833,1456.817
834,1437.476
835,1439.976
836,1444.354
837,1442.549
838,1449.732
839,1441.341
840,1453.659
841,1449.134
842,1451.317
843,1451.451
844,1451.915
845,1460.354
846,1453.659
847,1448.744
848,1455.585
849,1447.073
850,1456.500
851,1449.659
852,1459.927
853,1451.488
854,1449.524
855,1465.598
856,1457.768
857,1461.195
858,1466.476
859,1452.110
860,1452.085
861,1456.463
862,1454.439
863,1450.463
864,1452.207
865,1450.085
866,1457.195
