 ,Value
1,664.610
2,707.598
3,729.805
4,745.939
5,758.732
6,766.463
7,765.829
8,782.073
9,777.159
10,789.256
11,785.280
12,781.756
13,790.110
14,790.988
15,799.707
16,793.988
17,797.073
18,797.207
19,797.305
20,796.707
21,796.134
22,809.902
23,799.171
24,803.195
25,804.037
26,806.085
27,812.341
28,812.537
29,813.439
30,804.890
31,813.659
32,808.732
33,806.220
34,808.183
35,807.232
36,816.220
37,812.268
38,808.537
39,812.402
40,812.390
41,818.854
42,812.110
43,818.878
44,815.768
45,813.427
46,820.622
47,824.049
48,820.756
49,819.805
50,823.707
51,816.439
52,814.012
53,819.695
54,830.732
55,817.073
56,824.244
57,829.524
58,830.927
59,824.707
60,819.866
61,828.085
62,827.866
63,826.866
64,830.585
65,831.854
66,832.207
67,832.768
68,824.122
69,831.110
70,824.976
71,824.598
72,829.415
73,829.159
74,831.915
75,835.720
76,831.402
77,837.012
78,837.463
79,834.951
80,837.049
81,830.390
82,837.622
83,834.866
84,838.549
85,836.390
86,838.780
87,839.878
88,837.159
89,841.780
90,838.329
91,841.732
92,844.537
93,850.280
94,845.085
95,847.927
96,851.561
97,848.402
98,849.537
99,849.683
100,850.171
101,842.524
102,853.439
103,856.305
104,859.927
105,852.061
106,860.390
107,864.390
108,857.354
109,861.427
110,852.707
111,854.854
112,860.098
113,858.524
114,864.683
115,857.768
116,859.085
117,866.390
118,853.317
119,855.244
120,867.549
121,856.585
122,866.024
123,865.524
124,861.463
125,867.476
126,864.963
127,862.890
128,859.573
129,865.610
130,873.951
131,870.988
132,861.305
133,865.817
134,863.171
135,874.220
136,869.085
137,872.671
138,868.012
139,865.780
140,870.037
141,880.878
142,880.634
143,864.756
144,867.793
145,877.256
146,871.000
147,873.549
148,875.659
149,873.927
150,878.549
151,886.951
152,879.354
153,878.207
154,881.280
155,884.939
156,878.732
157,878.939
158,873.780
159,884.854
160,885.695
161,891.329
162,888.195
163,884.000
164,889.451
165,886.146
166,894.280
167,894.902
168,886.720
169,892.780
170,892.329
171,890.951
172,891.951
173,892.756
174,896.951
175,895.939
176,896.073
177,900.244
178,897.939
179,888.061
180,892.890
181,900.854
182,904.110
183,903.598
184,903.793
185,899.512
186,906.939
187,899.549
188,897.598
189,904.573
190,897.146
191,899.805
192,910.646
193,904.671
194,895.793
195,906.220
196,913.024
197,903.646
198,919.049
199,913.220
200,912.695
201,913.805
202,904.268
203,911.171
204,920.378
205,917.744
206,916.061
207,919.561
208,914.988
209,924.220
210,919.341
211,922.366
212,927.573
213,924.512
214,922.207
215,920.939
216,924.049
217,927.939
218,918.061
219,926.878
220,927.122
221,928.768
222,926.573
223,915.134
224,926.927
225,926.610
226,936.439
227,926.927
228,922.951
229,932.024
230,935.573
231,931.634
232,928.427
233,938.488
234,933.976
235,932.988
236,937.061
237,934.366
238,928.622
239,931.829
240,934.305
241,943.512
242,942.293
243,943.049
244,948.939
245,952.707
246,944.463
247,954.146
248,936.598
249,951.390
250,947.927
251,950.037
252,945.963
253,950.951
254,954.744
255,949.256
256,954.098
257,953.866
258,953.707
259,949.415
260,956.646
261,958.646
262,955.024
263,963.195
264,958.988
265,967.098
266,966.463
267,960.268
268,973.207
269,973.622
270,968.902
271,969.524
272,960.073
273,957.146
274,965.927
275,970.512
276,965.744
277,972.439
278,968.134
279,981.561
280,977.756
281,976.939
282,977.573
283,983.488
284,969.378
285,969.866
286,978.415
287,980.963
288,968.220
289,979.207
290,982.329
291,979.012
292,978.366
293,970.939
294,985.305
295,994.829
296,992.549
297,989.293
298,988.159
299,989.768
300,989.220
301,988.451
302,983.061
303,990.244
304,994.085
305,986.280
306,998.829
307,1003.939
308,995.707
309,1007.756
310,1003.646
311,997.085
312,994.915
313,999.012
314,1003.756
315,998.000
316,1004.878
317,1010.793
318,999.890
319,1001.878
320,997.878
321,997.707
322,1014.012
323,994.780
324,1001.585
325,1000.232
326,1000.817
327,1012.451
328,1006.317
329,1013.841
330,1008.817
331,1007.329
332,1014.183
333,1013.476
334,1010.817
335,1011.183
336,1007.951
337,1015.280
338,1015.329
339,1014.793
340,1020.098
341,1023.402
342,1018.890
343,1011.854
344,1010.390
345,1025.988
346,1024.671
347,1029.744
348,1020.000
349,1018.671
350,1033.159
351,1038.293
352,1031.110
353,1036.354
354,1032.354
355,1024.988
356,1036.049
357,1030.829
358,1030.195
359,1030.098
360,1028.829
361,1029.780
362,1027.634
363,1031.915
364,1033.061
365,1042.512
366,1043.488
367,1033.110
368,1039.134
369,1037.073
370,1043.646
371,1042.866
372,1037.659
373,1044.634
374,1039.146
375,1045.061
376,1046.829
377,1047.598
378,1046.512
379,1043.037
380,1052.024
381,1048.927
382,1054.293
383,1048.524
384,1053.073
385,1054.366
386,1056.049
387,1051.427
388,1052.280
389,1057.341
390,1059.695
391,1077.610
392,1060.817
393,1066.756
394,1054.646
395,1065.085
396,1063.171
397,1070.598
398,1063.805
399,1058.976
400,1069.159
401,1069.927
402,1074.829
403,1069.463
404,1067.146
405,1073.451
406,1071.963
407,1071.012
408,1075.378
409,1081.463
410,1081.927
411,1076.732
412,1088.500
413,1078.256
414,1087.939
415,1089.732
416,1088.988
417,1098.427
418,1091.866
419,1083.756
420,1092.232
421,1089.049
422,1092.073
423,1092.305
424,1097.280
425,1091.073
426,1096.463
427,1102.768
428,1096.756
429,1100.805
430,1099.317
431,1094.585
432,1096.317
433,1102.415
434,1094.512
435,1094.207
436,1107.793
437,1112.756
438,1097.585
439,1109.768
440,1111.476
441,1110.780
442,1108.012
443,1123.585
444,1109.012
445,1105.610
446,1110.585
447,1102.000
448,1103.024
449,1106.098
450,1112.317
451,1108.390
452,1113.537
453,1113.866
454,1112.695
455,1110.793
456,1110.744
457,1111.793
458,1119.683
459,1110.329
460,1101.232
461,1103.012
462,1112.488
463,1112.841
464,1114.073
465,1117.988
466,1108.439
467,1104.683
468,1120.744
469,1121.890
470,1117.256
471,1117.720
472,1128.146
473,1119.622
474,1120.707
475,1117.098
476,1124.415
477,1124.073
478,1127.683
479,1127.293
480,1135.451
481,1141.707
482,1134.402
483,1135.024
484,1130.646
485,1140.866
486,1135.110
487,1137.951
488,1143.207
489,1137.585
490,1146.707
491,1148.183
492,1133.415
493,1141.476
494,1145.488
495,1143.524
496,1146.622
497,1146.402
498,1156.366
499,1158.463
500,1159.110
501,1154.488
502,1152.427
503,1143.976
504,1164.244
505,1169.098
506,1174.024
507,1162.012
508,1167.110
509,1161.439
510,1180.256
511,1168.915
512,1185.329
513,1177.317
514,1187.598
515,1182.098
516,1184.610
517,1182.329
518,1184.341
519,1181.390
520,1184.110
521,1185.598
522,1185.500
523,1199.305
524,1185.220
525,1188.549
526,1192.659
527,1179.683
528,1195.768
529,1193.134
530,1197.220
531,1186.061
532,1193.598
533,1192.049
534,1191.561
535,1195.927
536,1196.024
537,1191.171
538,1204.366
539,1194.634
540,1195.707
541,1208.024
542,1191.134
543,1201.683
544,1198.024
545,1208.012
546,1210.927
547,1204.146
548,1217.512
549,1215.122
550,1213.793
551,1215.878
552,1217.720
553,1213.244
554,1216.439
555,1213.634
556,1217.110
557,1212.841
558,1209.927
559,1217.671
560,1220.683
561,1220.902
562,1215.622
563,1221.134
564,1217.939
565,1213.110
566,1216.000
567,1230.171
568,1226.439
569,1223.195
570,1230.768
571,1226.012
572,1223.402
573,1232.488
574,1222.744
575,1235.671
576,1231.573
577,1235.146
578,1225.976
579,1239.512
580,1234.683
581,1231.768
582,1240.671
583,1239.988
584,1242.659
585,1247.110
586,1240.841
587,1242.524
588,1250.073
589,1240.939
590,1244.317
591,1243.183
592,1238.756
593,1255.012
594,1250.768
595,1248.768
596,1248.256
597,1252.012
598,1254.049
599,1252.110
600,1248.171
601,1248.232
602,1248.280
603,1259.768
604,1260.939
605,1258.000
606,1252.293
607,1262.439
608,1259.585
609,1256.927
610,1257.512
611,1248.707
612,1264.098
613,1273.537
614,1265.780
615,1254.049
616,1257.780
617,1272.341
618,1267.305
619,1278.037
620,1278.427
621,1285.073
622,1268.427
623,1263.049
624,1271.720
625,1275.902
626,1283.634
627,1281.610
628,1286.134
629,1287.378
630,1290.829
631,1285.378
632,1286.939
633,1294.134
634,1285.841
635,1290.427
636,1272.720
637,1276.951
638,1285.220
639,1293.976
640,1287.439
641,1291.354
642,1296.146
643,1293.695
644,1303.573
645,1291.841
646,1291.915
647,1292.744
648,1295.598
649,1295.841
650,1289.232
651,1298.720
652,1289.585
653,1296.561
654,1290.549
655,1289.463
656,1302.207
657,1310.720
658,1309.220
659,1306.854
660,1313.512
661,1296.232
662,1309.598
663,1305.915
664,1309.537
665,1306.537
666,1301.244
667,1304.780
668,1320.561
669,1307.000
670,1314.622
671,1316.707
672,1318.988
673,1318.963
674,1315.963
675,1320.000
676,1322.195
677,1319.476
678,1326.805
679,1319.024
680,1319.866
681,1312.378
682,1323.354
683,1335.683
684,1326.122
685,1330.634
686,1325.793
687,1328.671
688,1334.305
689,1327.939
690,1334.146
691,1335.012
692,1343.622
693,1336.927
694,1335.390
695,1343.488
696,1343.780
697,1338.829
698,1346.476
699,1334.244
700,1349.915
701,1341.207
702,1345.427
703,1337.049
704,1331.220
705,1347.439
706,1342.232
707,1340.073
708,1339.598
709,1337.256
710,1352.366
711,1355.988
712,1349.756
713,1344.061
714,1351.817
715,1353.646
716,1352.768
717,1341.695
718,1362.805
719,1359.451
720,1357.720
721,1350.000
722,1360.988
723,1362.817
724,1353.195
725,1357.707
726,1362.829
727,1365.695
728,1365.524
729,1365.207
730,1361.305
731,1363.915
732,1370.451
733,1369.902
734,1360.159
735,1371.451
736,1364.524
737,1371.671
738,1371.500
739,1367.500
740,1374.817
741,1370.488
742,1378.037
743,1378.268
744,1370.256
