 ,Value
1,828.098
2,879.866
3,903.268
4,926.915
5,936.244
6,950.878
7,953.476
8,957.232
9,954.427
10,968.939
11,973.049
12,973.390
13,974.244
14,985.134
15,986.134
16,997.073
17,991.366
18,987.110
19,990.585
20,996.463
21,997.463
22,993.134
23,991.585
24,986.659
25,1000.512
26,994.402
27,994.585
28,987.829
29,994.549
30,994.878
31,1000.683
32,994.171
33,995.341
34,1004.110
35,1006.049
36,1006.195
37,998.000
38,1009.415
39,1004.817
40,1011.366
41,1010.854
42,1014.854
43,1017.000
44,1012.463
45,1005.963
46,1007.512
47,1006.402
48,1005.598
49,1005.500
50,1022.537
51,1012.610
52,1017.159
53,1010.756
54,1008.732
55,1013.415
56,1024.061
57,1019.146
58,1020.073
59,1021.878
60,1021.415
61,1019.122
62,1021.854
63,1017.768
64,1028.793
65,1022.561
66,1014.634
67,1028.232
68,1015.915
69,1018.354
70,1019.890
71,1019.622
72,1011.159
73,1030.695
74,1032.549
75,1033.646
76,1026.573
77,1035.524
78,1029.451
79,1030.866
80,1029.524
81,1036.622
82,1030.841
83,1033.488
84,1030.598
85,1027.902
86,1038.768
87,1033.305
88,1028.268
89,1038.427
90,1039.232
91,1035.378
92,1024.854
93,1041.317
94,1045.037
95,1039.988
96,1043.610
97,1038.171
98,1037.488
99,1054.329
100,1041.354
101,1043.585
102,1039.951
103,1047.085
104,1041.854
105,1047.854
106,1045.768
107,1041.232
108,1048.695
109,1044.171
110,1045.512
111,1042.073
112,1051.939
113,1044.341
114,1043.512
115,1045.841
116,1044.049
117,1047.439
118,1047.049
119,1055.524
120,1052.878
121,1058.220
122,1056.793
123,1054.012
124,1068.293
125,1065.841
126,1058.341
127,1055.183
128,1053.134
129,1057.756
130,1051.146
131,1048.817
132,1054.000
133,1059.683
134,1056.976
135,1066.415
136,1068.512
137,1059.634
138,1051.110
139,1070.354
140,1067.037
141,1058.598
142,1064.159
143,1064.524
144,1059.524
145,1063.402
146,1068.976
147,1069.024
148,1057.293
149,1074.598
150,1064.402
151,1070.939
152,1066.159
153,1078.220
154,1067.634
155,1073.939
156,1072.451
157,1065.537
158,1074.878
159,1071.549
160,1077.183
161,1072.341
162,1078.134
163,1079.976
164,1069.793
165,1073.037
166,1082.610
167,1083.695
168,1072.585
169,1075.012
170,1081.220
171,1082.622
172,1083.122
173,1083.280
174,1083.841
175,1081.402
176,1074.927
177,1085.646
178,1090.354
179,1083.963
180,1085.439
181,1093.244
182,1087.183
183,1086.659
184,1093.524
185,1093.329
186,1100.683
187,1096.683
188,1090.317
189,1092.951
190,1093.024
191,1088.866
192,1089.317
193,1083.427
194,1091.000
195,1087.232
196,1096.890
197,1103.707
198,1099.366
199,1097.537
200,1092.451
201,1097.476
202,1102.183
203,1093.220
204,1097.963
205,1098.549
206,1100.207
207,1096.134
208,1102.280
209,1102.329
210,1096.256
211,1098.671
212,1108.134
213,1114.305
214,1109.207
215,1104.890
216,1106.707
217,1106.890
218,1108.524
219,1110.500
220,1115.841
221,1106.622
222,1104.756
223,1109.280
224,1114.354
225,1120.354
226,1120.293
227,1107.939
228,1108.976
229,1114.402
230,1120.049
231,1113.988
232,1115.927
233,1120.293
234,1119.085
235,1121.854
236,1129.902
237,1134.622
238,1122.146
239,1122.927
240,1124.695
241,1117.049
242,1110.671
243,1120.341
244,1117.098
245,1122.268
246,1122.354
247,1126.037
248,1123.780
249,1130.378
250,1136.732
251,1125.402
252,1127.085
253,1131.037
254,1126.402
255,1125.524
256,1124.134
257,1131.634
258,1131.354
259,1133.927
260,1134.183
261,1129.451
262,1127.146
263,1133.134
264,1127.085
265,1130.171
266,1130.963
267,1135.268
268,1142.085
269,1140.537
270,1137.280
271,1130.061
272,1143.354
273,1149.439
274,1140.220
275,1135.024
276,1138.927
277,1142.902
278,1142.829
279,1138.756
280,1141.390
281,1140.695
282,1141.012
283,1139.341
284,1149.439
285,1145.012
286,1142.720
287,1147.720
288,1150.598
289,1149.646
290,1146.390
291,1150.305
292,1157.024
293,1143.280
294,1144.439
295,1153.244
296,1150.317
297,1152.427
298,1153.524
299,1154.159
300,1148.793
301,1150.780
302,1151.256
303,1162.683
304,1157.585
305,1151.073
306,1152.427
307,1152.963
308,1158.805
309,1155.524
310,1153.780
311,1164.524
312,1164.451
313,1171.439
314,1170.939
315,1169.537
316,1163.354
317,1174.829
318,1165.183
319,1168.817
320,1156.951
321,1158.085
322,1170.805
323,1158.390
324,1162.463
325,1162.829
326,1167.866
327,1166.463
328,1167.427
329,1174.110
330,1163.244
331,1169.232
332,1172.195
333,1159.683
334,1172.707
335,1177.841
336,1171.524
337,1164.634
338,1160.976
339,1171.524
340,1171.488
341,1169.366
342,1168.780
343,1176.951
344,1176.207
345,1180.659
346,1176.963
347,1178.817
348,1178.768
349,1181.537
350,1182.646
351,1178.854
352,1179.366
353,1191.390
354,1185.805
355,1173.244
356,1183.134
357,1176.549
358,1165.573
359,1166.549
360,1180.366
361,1173.512
362,1173.354
363,1173.171
364,1182.890
365,1183.146
366,1183.378
367,1179.244
368,1191.085
369,1185.976
370,1188.037
371,1185.683
372,1182.561
373,1181.988
374,1187.012
375,1183.512
376,1190.146
377,1196.598
378,1193.878
379,1191.244
380,1196.890
381,1193.878
382,1195.146
383,1194.890
384,1188.561
385,1187.878
386,1182.049
387,1201.061
388,1201.037
389,1198.256
390,1208.902
391,1191.780
392,1205.902
393,1198.415
394,1193.805
395,1202.366
396,1205.976
397,1207.512
398,1201.524
399,1202.951
400,1216.329
401,1200.512
402,1199.817
403,1204.024
404,1199.927
405,1205.354
406,1204.927
407,1198.280
408,1208.098
409,1212.232
410,1204.451
411,1213.622
412,1212.061
413,1213.024
414,1207.512
415,1211.037
416,1213.866
417,1218.488
418,1216.256
419,1217.341
420,1212.085
421,1223.610
422,1222.915
423,1228.927
424,1217.427
425,1222.085
426,1214.805
427,1211.549
428,1219.098
429,1216.537
430,1222.512
431,1218.817
432,1222.244
433,1220.354
434,1226.195
435,1223.854
436,1222.512
437,1215.817
438,1226.463
439,1226.159
440,1226.256
441,1226.500
442,1222.841
443,1227.073
444,1233.488
445,1224.524
446,1227.220
447,1220.561
448,1220.122
449,1222.866
450,1228.378
451,1222.707
452,1224.134
453,1230.134
454,1228.232
455,1217.146
456,1216.866
457,1213.598
458,1210.451
459,1217.720
460,1222.098
461,1217.610
462,1211.805
463,1218.854
464,1223.098
465,1214.341
466,1219.707
467,1223.720
468,1222.817
469,1228.512
470,1227.244
471,1231.207
472,1231.232
473,1220.890
474,1223.537
475,1218.244
476,1226.280
477,1234.280
478,1235.720
479,1237.159
480,1226.659
481,1238.037
482,1237.561
483,1236.927
484,1243.951
485,1243.659
486,1240.915
487,1230.427
488,1236.744
489,1250.500
490,1240.549
491,1240.890
492,1246.976
493,1245.671
494,1238.110
495,1247.293
496,1245.427
497,1246.512
498,1248.756
499,1247.256
500,1243.305
501,1254.707
502,1254.341
503,1251.951
504,1262.476
505,1261.354
506,1257.646
507,1252.354
508,1254.817
509,1262.415
510,1259.939
511,1263.756
512,1260.793
513,1263.707
514,1264.244
515,1262.573
516,1263.963
517,1267.915
518,1275.671
519,1267.427
520,1266.829
521,1259.207
522,1270.293
523,1279.012
524,1259.329
525,1265.976
526,1262.841
527,1272.207
528,1268.988
529,1268.585
530,1278.195
531,1277.232
532,1277.049
533,1276.427
534,1270.841
535,1278.232
536,1272.841
537,1275.707
538,1279.915
539,1277.537
540,1272.976
541,1272.524
542,1283.232
543,1278.902
544,1272.829
545,1290.171
546,1280.146
547,1288.976
548,1280.390
549,1294.317
550,1277.354
551,1284.122
552,1287.622
553,1286.110
554,1279.476
555,1280.585
556,1286.500
557,1287.915
558,1292.610
559,1284.305
560,1284.439
561,1286.305
562,1294.537
563,1290.390
564,1287.256
565,1278.866
566,1276.110
567,1292.695
568,1279.378
569,1292.329
570,1300.378
571,1298.634
572,1292.793
573,1287.329
574,1292.768
575,1302.305
576,1296.537
577,1289.549
578,1307.549
579,1299.561
580,1303.280
581,1303.024
582,1291.463
583,1290.793
584,1311.817
585,1293.207
586,1300.866
587,1298.146
588,1293.927
589,1313.463
590,1312.061
591,1312.939
592,1307.073
593,1311.195
594,1308.232
595,1306.085
596,1311.122
597,1306.610
598,1318.573
599,1309.012
600,1299.927
601,1302.756
602,1313.537
603,1315.220
604,1306.390
605,1315.976
606,1310.220
607,1322.585
608,1326.488
609,1323.061
610,1321.463
611,1318.073
612,1310.549
613,1320.646
614,1317.561
615,1316.890
616,1316.805
617,1320.549
618,1311.049
619,1321.171
620,1301.817
621,1316.488
622,1323.805
623,1324.707
624,1317.988
625,1325.378
626,1318.768
627,1326.293
628,1315.329
629,1313.732
630,1312.915
