 ,Value
1,855.744
2,902.098
3,917.439
4,950.146
5,949.634
6,961.256
7,976.110
8,975.415
9,979.195
10,972.280
11,980.963
12,984.598
13,986.280
14,991.183
15,992.927
16,1001.988
17,1002.390
18,997.500
19,1000.280
20,1007.854
21,1012.476
22,1007.951
23,1013.756
24,1011.341
25,1012.049
26,1013.012
27,1009.951
28,1017.561
29,1007.829
30,1014.280
31,1023.634
32,1016.805
33,1015.378
34,1017.329
35,1026.293
36,1013.585
37,1018.451
38,1029.183
39,1022.573
40,1020.207
41,1041.134
42,1026.585
43,1034.476
44,1026.866
45,1034.317
46,1030.183
47,1040.646
48,1031.122
49,1025.110
50,1032.085
51,1035.463
52,1036.866
53,1039.268
54,1032.683
55,1037.073
56,1035.329
57,1036.061
58,1038.683
59,1028.573
60,1038.951
61,1037.061
62,1034.695
63,1039.927
64,1033.134
65,1031.768
66,1039.854
67,1048.573
68,1044.878
69,1045.841
70,1048.183
71,1033.012
72,1032.134
73,1044.098
74,1040.610
75,1050.476
76,1046.341
77,1046.012
78,1036.866
79,1052.768
80,1044.049
81,1051.988
82,1037.902
83,1036.415
84,1050.756
85,1051.866
86,1050.366
87,1049.695
88,1060.476
89,1055.098
90,1050.707
91,1048.878
92,1055.049
93,1060.159
94,1058.598
95,1052.488
96,1062.829
97,1067.268
98,1055.610
99,1060.024
100,1060.073
101,1052.061
102,1055.598
103,1067.634
104,1070.171
105,1061.171
106,1058.793
107,1063.744
108,1072.195
109,1066.256
110,1071.963
111,1071.146
112,1068.988
113,1070.939
114,1064.390
115,1069.207
116,1081.585
117,1072.902
118,1070.061
119,1070.720
120,1065.000
121,1062.841
122,1072.159
123,1075.500
124,1077.402
125,1073.402
126,1079.768
127,1075.524
128,1079.622
129,1071.951
130,1079.439
131,1075.024
132,1064.780
133,1067.549
134,1081.671
135,1081.293
136,1075.024
137,1083.293
138,1077.732
139,1092.646
140,1083.220
141,1077.171
142,1084.732
143,1082.329
144,1088.817
145,1086.854
146,1088.878
147,1086.549
148,1082.305
149,1079.732
150,1086.268
151,1081.659
152,1085.573
153,1093.256
154,1087.963
155,1070.354
156,1089.793
157,1088.988
158,1084.354
159,1087.902
160,1093.915
161,1084.037
162,1083.659
163,1092.171
164,1093.207
165,1092.366
166,1092.146
167,1092.232
168,1092.427
169,1099.841
170,1092.061
171,1095.354
172,1101.622
173,1094.561
174,1103.756
175,1100.012
176,1100.195
177,1090.378
178,1100.756
179,1093.829
180,1105.549
181,1114.841
182,1112.024
183,1108.610
184,1100.805
185,1101.280
186,1105.951
187,1107.610
188,1106.976
189,1112.939
190,1110.451
191,1100.659
192,1109.695
193,1104.402
194,1113.659
195,1106.768
196,1117.366
197,1110.232
198,1114.317
199,1109.622
200,1124.110
201,1116.171
202,1116.012
203,1123.695
204,1115.902
205,1111.329
206,1120.341
207,1119.098
208,1119.463
209,1115.671
210,1122.415
211,1122.378
212,1112.268
213,1130.122
214,1105.195
215,1123.817
216,1120.622
217,1128.451
218,1127.463
219,1123.988
220,1122.427
221,1119.220
222,1120.780
223,1123.280
224,1133.915
225,1122.220
226,1131.329
227,1121.683
228,1132.390
229,1121.402
230,1126.610
231,1135.110
232,1125.073
233,1131.268
234,1131.037
235,1133.390
236,1130.354
237,1126.183
238,1130.598
239,1136.829
240,1144.280
241,1136.146
242,1131.695
243,1128.451
244,1133.024
245,1133.037
246,1140.854
247,1140.402
248,1128.415
249,1138.439
250,1127.951
251,1139.524
252,1142.439
253,1140.195
254,1144.451
255,1144.768
256,1135.146
257,1133.402
258,1139.329
259,1149.451
260,1146.695
261,1144.902
262,1153.061
263,1157.793
264,1152.159
265,1136.732
266,1153.402
267,1156.427
268,1158.695
269,1147.012
270,1159.122
271,1152.256
272,1155.695
273,1154.854
274,1154.378
275,1160.293
276,1161.378
277,1154.000
278,1161.329
279,1151.134
280,1166.024
281,1162.732
282,1149.622
283,1161.354
284,1166.427
285,1167.683
286,1164.561
287,1168.000
288,1160.939
289,1158.024
290,1160.463
291,1159.732
292,1150.561
293,1172.439
294,1163.866
295,1178.573
296,1158.817
297,1157.134
298,1165.061
299,1167.037
300,1170.671
301,1169.134
302,1168.183
303,1169.256
304,1175.329
305,1175.402
306,1165.220
307,1166.085
308,1177.256
309,1166.098
310,1166.463
311,1177.171
312,1166.085
313,1175.280
314,1181.720
315,1172.159
316,1180.805
317,1176.341
318,1187.720
319,1178.902
320,1177.780
321,1171.622
322,1178.012
323,1186.683
324,1185.902
325,1189.232
326,1185.878
327,1183.280
328,1172.378
329,1179.866
330,1181.561
331,1179.463
332,1180.817
333,1178.890
334,1178.390
335,1179.793
336,1185.000
337,1179.780
338,1185.805
339,1180.012
340,1184.537
341,1188.049
342,1184.720
343,1190.049
344,1181.817
345,1190.329
346,1186.256
347,1191.280
348,1187.805
349,1191.866
350,1191.817
351,1194.354
352,1187.012
353,1198.134
354,1193.780
355,1188.537
356,1187.427
357,1191.463
358,1184.927
359,1191.500
360,1183.951
361,1186.732
362,1193.646
363,1191.159
364,1195.110
365,1183.817
366,1197.744
367,1180.000
368,1189.232
369,1203.378
370,1195.671
371,1200.085
372,1196.476
373,1194.500
374,1196.793
375,1195.390
376,1200.220
377,1205.293
378,1206.780
379,1199.500
380,1199.939
381,1215.012
382,1206.683
383,1205.634
384,1213.012
385,1214.415
386,1209.329
387,1205.976
388,1213.744
389,1214.951
390,1218.085
391,1208.512
392,1217.463
393,1220.402
394,1220.659
395,1208.037
396,1213.390
397,1217.963
398,1212.817
399,1212.415
400,1221.439
401,1221.305
402,1223.073
403,1209.476
404,1216.610
405,1225.024
406,1220.122
407,1219.890
408,1221.963
409,1221.610
410,1222.695
411,1225.902
412,1228.232
413,1227.573
414,1216.524
415,1211.573
416,1215.134
417,1224.866
418,1227.854
419,1225.061
420,1226.354
421,1228.390
422,1226.683
423,1227.866
424,1222.110
425,1227.695
426,1224.695
427,1226.402
428,1227.805
429,1239.768
430,1243.159
431,1225.329
432,1239.744
433,1233.000
434,1250.744
435,1230.366
436,1242.841
437,1233.500
438,1235.317
439,1233.512
440,1238.293
441,1223.805
442,1233.524
443,1241.000
444,1224.012
445,1235.732
446,1234.841
447,1243.976
448,1229.902
449,1230.854
450,1239.793
451,1236.488
452,1232.061
453,1232.098
454,1216.902
455,1224.293
456,1238.024
457,1225.756
458,1226.085
459,1223.183
460,1220.451
461,1228.756
462,1227.000
463,1225.329
464,1231.037
465,1229.622
466,1237.598
467,1229.390
468,1234.780
469,1234.744
470,1231.927
471,1232.220
472,1220.354
473,1227.829
474,1226.817
475,1237.183
476,1236.183
477,1239.037
478,1235.415
479,1234.598
480,1233.256
481,1243.695
482,1247.000
483,1243.646
484,1244.817
485,1245.085
486,1239.866
487,1254.671
488,1255.171
489,1245.049
490,1248.110
491,1255.073
492,1257.012
493,1251.293
494,1258.963
495,1256.780
496,1254.378
497,1271.305
498,1262.622
499,1264.122
500,1264.037
501,1257.878
502,1263.939
503,1270.537
504,1257.488
505,1260.902
506,1268.902
507,1276.207
508,1271.890
509,1260.524
510,1271.220
511,1264.841
512,1266.768
513,1272.159
514,1276.378
515,1268.159
516,1273.073
517,1267.512
518,1277.463
519,1274.366
520,1283.402
521,1284.573
522,1286.744
523,1274.890
524,1274.805
525,1274.451
526,1275.244
527,1290.134
528,1288.098
529,1281.085
530,1278.890
531,1283.012
532,1272.683
533,1277.585
534,1274.610
535,1268.573
536,1279.841
537,1283.280
538,1279.537
539,1281.439
540,1279.707
541,1290.049
542,1292.744
543,1282.841
544,1284.195
545,1280.646
546,1285.622
547,1276.049
548,1291.841
549,1294.793
550,1287.524
551,1285.451
552,1276.707
553,1298.780
554,1285.780
555,1288.439
556,1289.915
557,1300.549
558,1293.573
559,1293.976
560,1293.732
561,1292.159
562,1298.171
563,1294.878
564,1299.805
565,1298.915
566,1294.037
567,1297.146
568,1301.634
569,1293.305
570,1298.402
571,1297.159
572,1294.366
573,1300.451
