 ,Value
1,248.951
2,250.988
3,251.134
4,254.305
5,254.098
6,254.341
7,260.037
8,259.207
9,263.329
10,259.854
11,253.902
12,260.415
13,258.793
14,259.122
15,261.134
16,258.768
17,261.159
18,259.768
19,262.073
20,260.963
21,260.622
22,263.854
23,258.122
24,264.134
25,261.927
26,264.659
27,260.402
28,255.366
29,264.280
30,260.110
31,264.402
32,261.207
33,258.451
34,258.220
35,260.988
36,256.329
37,259.195
38,263.037
39,266.939
40,262.732
41,269.390
42,266.171
43,264.061
44,263.793
45,268.012
46,265.256
47,262.268
48,265.098
49,269.512
50,260.049
51,262.622
52,260.866
53,265.988
54,268.939
55,262.915
56,266.280
57,263.098
58,264.098
59,265.317
60,269.915
61,265.146
62,262.890
63,269.549
64,273.183
65,271.963
66,271.220
67,268.220
68,271.146
69,270.098
70,269.500
71,261.537
72,262.366
73,269.134
74,277.256
75,275.951
76,277.878
77,263.634
78,277.232
79,273.463
80,274.000
81,273.244
82,276.622
83,274.634
84,277.256
85,277.500
86,277.878
87,277.634
88,278.329
89,275.817
90,275.439
91,278.524
92,281.232
93,275.659
94,278.915
95,280.707
96,277.122
97,273.683
98,281.500
99,280.402
100,281.354
101,284.268
102,279.476
103,289.037
104,284.854
105,281.463
106,288.610
107,283.012
108,280.829
109,277.927
110,286.744
111,286.232
112,285.549
113,287.171
114,282.171
115,294.049
116,286.488
117,286.256
118,288.305
119,284.793
120,289.927
121,286.854
122,289.939
123,286.463
124,286.549
125,293.927
126,293.805
127,292.256
128,296.195
129,288.646
130,296.744
131,294.195
132,289.634
133,294.073
134,299.841
135,296.793
136,292.817
137,297.829
138,299.000
139,301.573
140,301.866
141,301.402
142,299.939
143,298.744
144,297.171
145,302.500
146,296.780
147,305.159
148,305.610
149,306.122
150,304.146
151,305.683
152,305.037
153,310.524
154,304.878
155,305.890
156,305.122
157,311.439
158,310.585
159,312.207
160,308.354
161,311.439
162,312.902
163,311.122
164,314.646
165,322.866
166,311.902
167,315.939
168,321.488
169,320.402
170,312.549
171,321.927
172,323.122
173,313.390
174,319.512
175,320.622
176,324.037
177,324.671
178,319.744
179,326.915
180,323.012
181,322.707
182,326.976
183,325.000
184,329.378
185,330.695
186,329.122
187,328.976
188,333.232
189,332.793
190,333.720
191,331.829
192,336.463
193,333.683
194,337.854
195,336.085
196,340.305
197,342.354
198,341.610
199,341.671
200,339.561
201,342.024
202,342.329
203,354.049
204,347.305
205,344.110
206,353.524
207,346.293
208,342.902
209,344.829
210,354.024
