 ,Value
1,810.598
2,853.829
3,874.073
4,906.244
5,921.512
6,925.329
7,929.537
8,934.720
9,933.500
10,937.610
11,942.549
12,956.780
13,949.573
14,946.183
15,948.780
16,963.476
17,943.244
18,953.488
19,950.341
20,958.195
21,963.012
22,961.866
23,970.244
24,965.963
25,963.171
26,966.012
27,968.402
28,969.049
29,973.866
30,976.622
31,974.012
32,967.695
33,973.146
34,979.524
35,965.451
36,981.500
37,982.098
38,980.524
39,976.927
40,985.390
41,975.073
42,981.854
43,981.061
44,982.854
45,983.817
46,979.098
47,996.012
48,979.878
49,985.390
50,985.049
51,987.488
52,998.134
53,998.439
54,989.646
55,996.646
56,989.451
57,990.207
58,995.329
59,982.561
60,994.646
61,985.378
62,1000.573
63,982.561
64,991.878
65,984.159
66,986.756
67,992.622
68,993.963
69,996.598
70,1001.110
71,989.427
72,998.634
73,998.000
74,1001.549
75,999.207
76,1002.646
77,999.939
78,1008.780
79,1002.683
80,1003.732
81,1001.195
82,1006.549
83,1008.549
84,1006.049
85,1008.317
86,1000.646
87,1006.207
88,1007.646
89,1008.549
90,1004.659
91,1005.524
92,1013.366
93,1003.024
94,1012.976
95,1007.232
96,1015.024
97,1015.671
98,1009.622
99,1020.463
100,1016.402
101,1016.171
102,1016.744
103,1015.000
104,1015.280
105,1012.012
106,1019.476
107,1024.976
108,1025.866
109,1026.915
110,1015.744
111,1019.085
112,1022.732
113,1040.537
114,1014.280
115,1022.793
116,1028.159
117,1023.024
118,1025.171
119,1031.561
120,1031.537
121,1036.207
122,1021.537
123,1035.232
124,1026.622
125,1033.976
126,1032.988
127,1033.476
128,1017.671
129,1033.951
130,1015.098
131,1030.024
132,1030.439
133,1042.183
134,1038.256
135,1030.963
136,1037.049
137,1033.073
138,1032.329
139,1044.878
140,1042.646
141,1028.000
142,1030.768
143,1039.183
144,1036.232
145,1040.256
146,1040.268
147,1034.463
148,1041.683
149,1033.305
150,1044.793
151,1039.378
152,1046.768
153,1043.549
154,1049.463
155,1047.622
156,1038.805
157,1045.293
158,1044.232
159,1046.622
160,1050.500
161,1049.207
162,1053.146
163,1045.244
164,1061.951
165,1050.024
166,1048.415
167,1051.024
168,1054.707
169,1047.463
170,1056.634
171,1046.720
172,1053.902
173,1053.549
174,1052.720
175,1060.524
176,1065.451
177,1059.122
178,1061.317
179,1059.476
180,1057.280
181,1061.476
182,1056.976
183,1055.268
184,1058.122
185,1070.780
186,1062.683
187,1059.463
188,1064.220
189,1062.634
190,1074.354
191,1064.366
192,1065.841
193,1069.561
194,1060.293
195,1072.000
196,1081.744
197,1081.780
198,1072.683
199,1071.598
200,1072.012
201,1075.085
202,1081.988
203,1075.707
204,1072.841
205,1069.915
206,1079.244
207,1079.439
208,1070.402
209,1077.720
210,1080.488
211,1071.720
212,1072.390
213,1071.073
214,1081.183
215,1078.524
216,1081.268
217,1083.963
218,1081.317
219,1081.171
220,1094.817
221,1083.659
222,1079.902
223,1091.183
224,1084.427
225,1086.829
226,1096.841
227,1099.195
228,1089.829
229,1089.012
230,1086.427
231,1077.085
232,1086.488
233,1096.512
234,1093.402
235,1091.732
236,1084.720
237,1100.744
238,1088.085
239,1088.744
240,1095.439
241,1096.671
242,1092.024
243,1104.561
244,1101.110
245,1102.500
246,1100.854
247,1096.683
248,1093.463
249,1094.098
250,1100.817
251,1109.890
252,1098.134
253,1111.207
254,1106.476
255,1101.805
256,1114.695
257,1106.244
258,1109.805
259,1111.159
260,1104.756
261,1108.732
262,1101.354
263,1110.744
264,1113.427
265,1109.805
266,1107.524
267,1112.256
268,1110.232
269,1110.963
270,1122.037
271,1118.256
272,1116.573
273,1109.720
274,1112.768
275,1121.134
276,1126.256
277,1118.451
278,1112.707
279,1117.341
280,1122.793
281,1123.244
282,1112.305
283,1128.549
284,1122.317
285,1122.902
286,1120.951
287,1116.561
288,1121.354
289,1130.890
290,1126.500
291,1129.439
292,1133.646
293,1139.659
294,1130.610
295,1140.598
296,1137.768
297,1146.329
298,1130.146
299,1135.549
300,1136.537
301,1134.220
302,1133.122
303,1129.963
304,1140.073
305,1130.268
306,1131.341
307,1136.305
308,1142.012
309,1141.463
310,1142.744
311,1145.305
312,1145.293
313,1140.817
314,1144.829
315,1141.085
316,1142.854
317,1142.793
318,1143.110
319,1137.000
320,1142.707
321,1149.061
322,1155.268
323,1142.293
324,1151.256
325,1148.098
326,1148.220
327,1150.159
328,1147.963
329,1151.646
330,1146.671
331,1147.049
332,1154.720
333,1150.890
334,1152.146
335,1149.488
336,1163.524
337,1163.024
338,1149.902
339,1145.707
340,1150.671
341,1157.744
342,1158.427
343,1151.854
344,1158.439
345,1154.512
346,1159.707
347,1156.024
348,1166.012
349,1153.878
350,1163.780
351,1155.134
352,1156.732
353,1160.732
354,1159.707
355,1165.902
356,1165.268
357,1159.963
358,1168.329
359,1171.000
360,1156.293
361,1160.171
362,1159.110
363,1169.439
364,1173.207
365,1164.841
366,1177.500
367,1178.707
368,1168.171
369,1174.878
370,1160.427
371,1164.085
372,1166.049
373,1173.293
374,1170.000
375,1164.817
376,1177.927
377,1175.305
378,1175.756
379,1170.085
380,1170.646
381,1184.537
382,1181.146
383,1183.683
384,1179.268
385,1177.159
386,1180.976
387,1176.500
388,1186.000
389,1186.329
390,1184.402
391,1182.720
392,1186.012
393,1185.378
394,1191.598
395,1197.817
396,1191.366
397,1190.110
398,1193.183
399,1200.329
400,1191.829
401,1198.598
402,1195.171
403,1191.829
404,1187.232
405,1203.293
406,1190.707
407,1200.573
408,1197.366
409,1193.610
410,1197.549
411,1199.451
412,1197.439
413,1199.159
414,1209.927
415,1194.976
416,1191.024
417,1202.976
418,1206.610
419,1193.768
420,1204.024
421,1198.317
422,1208.268
423,1206.744
424,1210.427
425,1200.451
426,1210.549
427,1207.671
428,1211.061
429,1214.841
430,1209.012
431,1214.902
432,1217.061
433,1214.463
434,1206.659
435,1211.720
436,1210.610
437,1211.159
438,1222.463
439,1220.073
440,1217.549
441,1218.951
442,1217.134
443,1221.159
444,1220.573
445,1216.305
446,1225.280
447,1212.927
448,1223.671
449,1220.427
450,1213.451
451,1211.207
452,1213.878
453,1212.049
454,1212.988
455,1218.695
456,1219.061
457,1212.561
458,1212.049
459,1223.341
460,1220.085
461,1212.866
462,1209.512
463,1219.317
464,1217.476
465,1221.463
466,1209.232
467,1209.671
468,1218.988
469,1208.098
470,1221.720
471,1227.415
472,1225.195
473,1222.622
474,1223.829
475,1214.732
476,1221.524
477,1217.866
478,1229.280
479,1222.756
480,1215.854
481,1221.780
482,1231.671
483,1229.695
484,1227.098
485,1229.451
486,1232.146
487,1238.366
488,1240.415
489,1239.061
490,1228.098
491,1247.183
492,1250.793
493,1233.573
494,1244.768
495,1252.354
496,1225.756
497,1245.134
498,1246.500
499,1244.366
500,1250.354
501,1243.817
502,1239.341
503,1248.976
504,1252.061
505,1240.817
506,1256.110
507,1252.110
508,1244.146
509,1254.024
510,1260.268
511,1257.451
512,1257.244
513,1261.354
514,1269.500
515,1259.341
516,1260.110
517,1264.829
518,1259.012
519,1262.012
520,1273.207
521,1267.220
522,1271.939
523,1275.780
524,1272.573
525,1276.305
526,1264.366
527,1272.671
528,1275.646
529,1280.207
530,1277.159
531,1279.317
532,1272.098
533,1275.646
534,1269.232
535,1270.159
536,1273.841
537,1270.463
538,1271.976
539,1279.878
540,1275.671
541,1288.232
542,1283.524
543,1284.756
544,1280.476
545,1281.915
546,1279.768
547,1275.098
548,1274.951
549,1286.122
550,1288.061
551,1276.720
552,1285.707
553,1291.500
554,1290.659
555,1284.488
556,1286.439
557,1283.841
558,1286.451
559,1284.317
560,1297.378
561,1293.902
562,1284.390
563,1292.988
564,1287.659
565,1291.317
566,1275.024
567,1290.805
568,1285.341
569,1293.951
570,1286.841
571,1296.012
572,1293.427
573,1297.098
574,1298.646
575,1302.232
576,1295.976
577,1291.744
578,1294.037
579,1295.634
580,1303.573
581,1310.817
582,1300.890
583,1313.012
584,1306.890
585,1288.329
586,1293.780
587,1290.061
588,1305.537
589,1318.280
590,1316.280
591,1314.390
592,1296.902
593,1313.378
594,1312.463
595,1313.927
596,1312.476
597,1308.854
598,1308.378
599,1312.878
600,1316.939
601,1313.902
602,1311.354
603,1315.512
604,1317.439
605,1318.720
606,1314.780
607,1316.244
608,1315.585
609,1314.427
610,1323.451
611,1312.622
612,1320.890
613,1309.378
614,1327.341
615,1328.256
616,1326.061
617,1321.110
618,1324.232
619,1322.890
620,1315.634
621,1326.171
622,1318.488
623,1329.256
624,1324.622
625,1326.707
626,1332.549
627,1326.500
628,1321.720
629,1336.707
630,1319.683
631,1321.317
632,1326.890
633,1328.402
634,1322.890
635,1326.183
636,1331.098
637,1338.720
638,1352.244
639,1333.073
640,1342.195
641,1344.366
642,1335.829
643,1338.305
