 ,Value
1,642.695
2,690.610
3,703.707
4,720.012
5,729.220
6,740.317
7,747.854
8,753.073
9,754.732
10,759.171
11,759.902
12,763.463
13,764.732
14,773.134
15,779.988
16,778.524
17,773.073
18,772.354
19,782.963
20,768.171
21,770.415
22,779.829
23,776.610
24,783.293
25,783.012
26,783.378
27,778.159
28,781.439
29,784.902
30,775.732
31,786.085
32,783.695
33,787.915
34,801.061
35,793.159
36,785.646
37,785.476
38,787.220
39,794.659
40,797.268
41,794.244
42,788.939
43,789.476
44,790.256
45,779.805
46,781.134
47,799.061
48,797.659
49,794.134
50,800.951
51,803.354
52,795.110
53,798.171
54,797.451
55,795.744
56,801.549
57,802.951
58,799.732
59,793.646
60,804.427
61,806.561
62,804.049
63,810.439
64,814.341
65,804.805
66,806.146
67,805.122
68,813.354
69,812.037
70,809.756
71,795.512
72,794.646
73,805.463
74,817.927
75,812.780
76,815.805
77,815.927
78,807.317
79,820.415
80,813.768
81,813.610
82,810.012
83,816.012
84,824.341
85,816.220
86,808.402
87,819.817
88,815.390
89,815.793
90,818.293
91,815.232
92,818.232
93,820.963
94,821.610
95,823.415
96,824.000
97,824.622
98,824.439
99,824.866
100,828.256
101,822.171
102,826.732
103,824.817
104,835.402
105,826.976
106,822.805
107,820.549
108,828.659
109,827.890
110,823.378
111,828.610
112,833.476
113,831.220
114,838.988
115,839.732
116,836.610
117,841.793
118,835.976
119,840.878
120,838.280
121,838.195
122,851.671
123,847.402
124,836.573
125,837.317
126,837.012
127,847.671
128,840.915
129,855.366
130,843.329
131,841.061
132,843.354
133,840.341
134,837.585
135,844.195
136,856.085
137,841.768
138,845.037
139,846.768
140,845.220
141,850.415
142,852.183
143,854.256
144,851.707
145,849.561
146,850.451
147,852.183
148,864.354
149,844.732
150,855.476
151,860.524
152,858.244
153,855.220
154,858.183
155,856.439
156,860.500
157,858.598
158,857.768
159,856.561
160,848.146
161,853.244
162,863.415
163,861.951
164,866.976
165,859.049
166,856.146
167,866.439
168,860.037
169,866.476
170,868.195
171,871.854
172,871.841
173,876.902
174,868.366
175,874.378
176,868.793
177,870.707
178,872.963
179,879.000
180,877.451
181,877.817
182,874.366
183,877.049
184,873.110
185,877.878
186,886.024
187,877.244
188,882.244
189,885.524
190,889.085
191,886.598
192,874.793
193,886.000
194,884.561
195,883.073
196,884.805
197,890.159
198,886.939
199,889.476
200,885.707
201,899.207
202,894.841
203,894.427
204,895.329
205,897.610
206,898.573
207,894.805
208,901.598
209,898.512
210,908.024
211,896.476
212,899.829
213,902.085
214,905.720
215,910.244
216,908.854
217,909.915
218,900.098
219,902.902
220,906.976
221,911.573
222,911.256
223,920.463
224,919.768
225,907.573
226,910.756
227,917.476
228,912.073
229,911.549
230,909.951
231,916.378
232,914.220
233,912.878
234,912.110
235,901.159
236,909.549
