 ,Value
1,450.037
2,481.317
3,498.293
4,505.463
5,511.159
6,517.390
7,524.415
8,531.354
9,531.146
10,527.646
11,530.305
12,538.841
13,533.561
14,527.878
15,535.293
16,534.817
17,535.841
18,535.232
19,532.317
20,538.939
21,540.110
22,548.890
23,537.268
24,549.451
25,542.829
26,540.183
27,539.890
28,540.671
29,540.268
30,547.549
31,544.073
32,549.329
33,542.793
34,546.671
35,547.244
36,542.854
37,549.354
38,546.951
39,545.012
40,546.598
41,550.390
42,558.232
43,550.951
44,550.915
45,553.012
46,553.476
47,560.549
48,556.841
49,563.488
50,561.305
51,557.183
52,561.195
53,559.500
54,566.939
55,555.159
56,566.549
57,562.341
58,566.805
59,564.341
60,557.439
61,559.073
62,563.646
63,563.415
64,561.341
65,560.756
66,568.927
67,558.439
68,564.073
69,563.463
70,566.415
71,557.756
72,555.329
73,568.817
74,573.317
75,571.793
76,569.049
77,566.012
78,568.951
79,580.073
80,570.878
81,576.244
82,570.098
83,568.451
84,576.841
85,580.354
86,572.463
87,578.939
88,575.146
89,577.195
90,580.049
91,579.037
92,584.939
93,577.390
94,582.707
95,581.439
96,591.793
97,579.195
98,581.500
99,585.329
100,591.183
101,589.146
102,581.488
103,579.854
104,585.695
105,587.866
106,591.927
107,589.305
108,590.902
109,597.720
110,595.305
111,596.866
112,595.402
113,593.524
114,598.683
115,601.829
116,598.329
117,591.610
118,592.537
119,596.744
120,591.512
121,598.085
122,593.561
123,597.305
124,600.439
125,600.439
126,600.890
127,603.061
128,596.049
129,606.756
130,600.280
131,604.549
132,601.488
133,604.256
134,607.122
135,607.817
136,615.378
137,601.805
138,609.659
139,607.402
140,608.195
141,608.622
142,616.585
143,616.439
144,621.695
145,619.220
146,611.329
147,616.902
148,616.415
149,617.305
150,613.427
151,616.939
152,620.902
153,622.488
154,619.134
155,618.354
156,620.463
157,621.878
158,622.268
159,627.756
160,631.854
161,628.573
162,628.171
163,627.805
164,623.963
165,624.195
166,631.902
167,636.232
168,639.183
169,635.524
170,636.854
171,638.500
172,637.146
173,636.659
174,640.500
175,650.622
176,643.415
177,641.598
178,643.427
179,649.317
180,641.671
181,635.305
182,653.744
