 ,Value
1,453.341
2,491.537
3,502.098
4,513.134
5,528.915
6,528.268
7,535.768
8,532.744
9,536.317
10,542.866
11,541.122
12,538.585
13,539.366
14,543.256
15,544.902
16,547.293
17,549.061
18,553.646
19,546.695
20,542.256
21,544.061
22,547.427
23,554.561
24,548.390
25,550.073
26,556.390
27,551.244
28,548.744
29,550.866
30,547.732
31,556.293
32,562.183
33,556.732
34,552.415
35,555.951
36,554.829
37,558.341
38,559.671
39,552.000
40,564.793
41,559.768
42,562.744
43,561.915
44,568.220
45,559.915
46,572.085
47,566.390
48,564.890
49,565.012
50,562.939
51,570.146
52,563.841
53,573.024
54,568.646
55,568.878
56,570.695
57,570.524
58,569.073
59,570.256
60,567.122
61,572.756
62,569.195
63,576.915
64,573.244
65,567.854
66,574.280
67,572.451
68,577.183
69,569.585
70,577.390
71,571.463
72,567.707
73,574.524
74,578.634
75,580.598
76,580.659
77,575.085
78,582.244
79,588.366
80,579.378
81,580.756
82,587.878
83,579.232
84,585.756
85,587.854
86,582.293
87,584.024
88,580.049
89,579.854
90,583.927
91,592.744
92,590.573
93,585.805
94,590.220
95,594.329
96,591.951
97,591.488
98,586.439
99,587.902
100,591.207
101,585.573
102,597.463
103,600.171
104,597.793
105,596.695
106,600.671
107,597.293
108,604.159
109,590.256
110,603.866
111,599.561
112,600.280
113,604.024
114,604.744
115,604.122
116,607.976
117,597.573
118,608.927
119,608.720
120,607.707
121,606.695
122,603.280
123,606.817
124,609.427
125,604.427
126,611.268
127,613.098
128,606.024
129,611.512
130,610.646
131,616.146
132,608.585
133,610.902
134,617.171
135,619.512
136,612.134
137,614.768
138,624.524
139,622.805
140,625.354
141,626.951
142,616.866
143,615.561
144,619.939
145,620.683
146,622.183
147,624.183
148,615.280
149,626.244
150,625.683
151,635.512
152,628.915
153,628.146
154,627.378
155,632.171
156,628.646
157,634.268
158,637.049
159,630.817
160,632.171
161,632.902
162,632.402
163,639.720
164,635.817
165,640.561
166,636.268
167,635.232
168,644.280
169,638.951
170,641.220
171,645.415
172,642.610
173,653.305
174,646.866
175,650.207
176,641.159
177,655.000
178,649.146
179,653.854
180,657.390
181,651.561
182,653.232
183,657.744
184,650.744
185,651.280
186,657.256
187,660.939
188,653.683
189,650.098
190,662.341
191,662.707
192,661.122
193,659.549
194,664.732
195,661.878
196,667.902
197,664.988
198,672.524
199,665.756
200,669.866
201,672.512
202,677.939
203,673.268
204,670.585
205,678.024
206,692.512
207,677.256
208,685.171
209,680.744
210,687.134
211,682.646
212,673.171
213,680.207
214,681.061
215,680.073
216,682.915
217,686.439
218,686.024
219,692.073
220,703.683
221,687.000
