 ,Value
1,255.573
2,261.427
3,266.805
4,263.049
5,272.354
6,271.402
7,272.805
8,273.000
9,274.927
10,273.463
11,274.939
12,271.220
13,276.634
14,273.939
15,274.402
16,276.756
17,278.293
18,273.415
19,278.000
20,275.451
21,273.793
22,278.439
23,278.427
24,280.854
25,281.988
26,278.366
27,283.585
28,280.585
29,280.317
30,282.512
31,281.854
32,280.744
33,283.122
34,287.183
35,284.183
36,285.232
37,283.768
38,279.561
39,283.939
40,285.598
41,283.329
42,285.963
43,286.305
44,288.183
45,285.110
46,285.939
47,290.451
48,294.378
49,278.732
50,282.841
51,290.537
52,284.049
53,283.805
54,285.146
55,287.841
56,289.805
57,293.976
58,291.256
59,290.732
60,289.939
61,287.878
62,289.500
63,290.927
64,289.549
65,286.927
66,295.439
67,289.537
68,293.866
69,293.841
70,289.805
71,289.293
72,286.256
73,292.037
74,296.098
75,291.488
76,298.927
77,296.073
78,299.341
79,297.927
80,300.549
81,293.463
82,298.329
83,297.366
84,298.427
85,299.854
86,298.610
87,299.537
88,303.354
89,301.915
90,297.805
91,299.439
92,299.634
93,302.085
94,295.390
95,304.476
96,307.341
97,307.390
98,302.524
99,305.244
100,307.341
101,308.488
102,309.988
103,309.122
104,306.646
105,305.976
106,305.915
107,314.720
108,312.183
109,314.988
110,312.841
111,306.622
112,311.866
113,313.598
114,315.134
115,319.951
116,315.476
117,311.988
118,307.085
119,314.012
120,316.366
121,324.915
122,325.402
123,316.268
124,320.793
125,323.659
126,328.976
127,320.232
128,317.622
129,325.695
130,325.476
131,320.195
132,321.537
133,328.878
134,323.256
135,326.780
136,326.415
137,325.512
138,327.732
139,329.476
140,323.378
141,328.085
142,331.402
143,328.476
144,331.488
145,327.293
146,331.951
147,328.634
148,324.305
149,332.146
150,334.280
151,334.049
152,332.854
153,342.585
154,338.061
155,333.829
156,334.049
157,339.171
158,336.939
159,342.000
160,343.207
161,345.890
162,346.402
163,345.354
164,339.305
165,345.927
166,347.598
167,348.207
168,354.500
169,346.220
170,354.171
171,353.622
172,346.634
173,346.573
174,350.268
175,352.988
176,354.476
177,357.671
178,357.341
179,356.646
180,355.024
181,361.537
182,369.683
183,361.927
184,360.195
185,362.561
186,364.317
