 ,Value
1,732.793
2,769.829
3,787.427
4,810.756
5,824.366
6,831.671
7,838.280
8,847.646
9,845.427
10,851.598
11,849.720
12,854.756
13,857.829
14,863.854
15,858.793
16,861.207
17,866.146
18,861.659
19,864.049
20,868.061
21,862.585
22,865.537
23,866.829
24,868.610
25,874.451
26,872.183
27,886.232
28,874.793
29,882.439
30,868.049
31,875.512
32,876.927
33,882.293
34,881.585
35,873.866
36,880.098
37,876.939
38,879.012
39,885.756
40,884.317
41,886.500
42,888.244
43,883.341
44,887.756
45,895.073
46,893.476
47,885.049
48,878.122
49,890.854
50,898.707
51,886.317
52,897.341
53,894.378
54,886.122
55,892.646
56,896.037
57,901.049
58,894.732
59,895.927
60,896.866
61,898.683
62,898.927
63,895.122
64,901.159
65,899.805
66,902.415
67,903.561
68,914.512
69,899.683
70,897.561
71,889.512
72,891.707
73,904.646
74,905.671
75,902.854
76,900.110
77,903.585
78,898.463
79,898.378
80,910.451
81,899.488
82,913.195
83,910.585
84,907.488
85,906.317
86,905.866
87,910.878
88,913.561
89,917.683
90,907.610
91,906.463
92,915.732
93,918.634
94,917.207
95,915.756
96,916.793
97,914.951
98,914.902
99,920.439
100,926.341
101,916.366
102,920.622
103,924.244
104,917.341
105,926.256
106,920.354
107,925.524
108,915.585
109,922.220
110,923.049
111,923.549
112,927.390
113,923.232
114,932.037
115,929.866
116,935.024
117,926.671
118,923.963
119,929.524
120,926.232
121,928.256
122,937.073
123,945.024
124,927.878
125,936.890
126,925.293
127,934.549
128,932.451
129,938.207
130,940.451
131,935.000
132,937.341
133,928.451
134,943.268
135,937.451
136,938.427
137,943.841
138,938.329
139,941.695
140,942.829
141,939.537
142,945.268
143,948.573
144,938.341
145,947.110
146,942.073
147,947.329
148,940.220
149,950.305
150,948.366
151,947.415
152,949.354
153,943.061
154,951.293
155,955.585
156,944.927
157,954.293
158,958.963
159,956.841
160,948.244
161,958.207
162,951.305
163,964.659
164,958.988
165,961.171
166,958.537
167,949.305
168,953.537
169,958.232
170,954.854
171,958.341
172,959.000
173,955.854
174,970.817
175,965.232
176,963.122
177,964.720
178,973.268
179,970.549
180,965.012
181,973.232
182,967.744
183,970.610
184,970.573
185,967.756
186,975.829
187,970.829
188,968.317
189,975.354
190,969.598
191,967.866
192,981.134
193,970.476
194,967.646
195,973.841
196,988.598
197,979.378
198,983.841
199,975.549
200,980.390
201,985.549
202,981.549
203,976.768
204,974.841
205,975.915
206,987.073
207,991.293
208,990.195
209,978.098
210,988.171
211,982.549
212,988.573
213,977.329
214,989.341
215,984.829
216,985.732
217,989.915
218,999.659
219,995.378
220,998.390
221,995.622
222,1002.683
223,986.927
224,987.720
225,980.305
226,1000.232
227,993.220
228,1003.829
229,993.646
230,1004.695
231,988.000
232,999.793
233,1000.537
234,1006.817
235,1013.780
236,1001.854
237,1007.902
238,1015.634
239,1004.976
240,1001.854
241,1004.000
242,1003.854
243,1007.439
244,1007.427
245,1005.549
246,1005.841
247,1012.744
248,1013.744
249,1016.439
250,1016.890
251,1015.598
252,1013.378
253,1007.878
254,1022.366
255,1011.439
256,1018.622
257,1023.061
258,1020.232
259,1012.878
260,1031.354
261,1028.488
262,1019.927
263,1024.671
264,1019.098
265,1020.659
266,1026.598
267,1031.012
268,1027.622
269,1025.415
270,1031.488
271,1034.110
272,1032.805
273,1040.500
274,1029.793
275,1035.366
276,1041.963
277,1037.329
278,1034.744
279,1032.232
280,1031.366
281,1041.390
282,1038.756
283,1041.463
284,1039.098
285,1032.427
286,1030.512
287,1036.963
288,1046.207
289,1033.963
290,1041.683
291,1047.049
292,1049.524
293,1044.744
294,1049.598
295,1054.183
296,1041.829
297,1044.098
298,1057.524
299,1050.049
300,1047.354
301,1055.329
302,1053.732
303,1053.878
304,1062.817
305,1045.220
306,1050.012
307,1054.549
308,1058.390
309,1061.317
310,1048.549
311,1051.256
312,1060.366
313,1062.390
314,1065.671
315,1068.341
316,1058.524
317,1061.732
318,1061.427
319,1073.634
320,1060.878
321,1069.293
322,1063.646
323,1062.805
324,1065.915
325,1062.976
326,1074.195
327,1066.744
328,1066.451
329,1057.598
330,1066.939
331,1062.280
332,1072.280
333,1068.098
334,1077.902
335,1072.268
336,1075.037
337,1078.561
338,1084.439
339,1090.902
340,1083.683
341,1084.720
342,1079.439
343,1083.890
344,1084.561
345,1094.854
346,1077.476
347,1080.610
348,1089.098
349,1083.207
350,1087.646
351,1089.122
352,1083.988
353,1092.524
354,1093.268
355,1093.134
356,1084.610
357,1093.939
358,1085.305
359,1086.256
360,1085.305
361,1088.866
362,1090.573
363,1090.390
364,1092.415
365,1093.768
366,1086.098
367,1095.476
368,1093.573
369,1096.183
370,1098.963
371,1098.378
372,1096.232
373,1097.122
374,1104.280
375,1099.659
376,1104.841
377,1106.841
378,1105.927
379,1112.683
380,1107.341
381,1105.963
382,1112.146
383,1111.610
384,1108.195
385,1116.366
386,1121.232
387,1119.427
388,1116.305
389,1117.256
390,1107.439
391,1120.195
392,1132.195
393,1125.232
394,1125.476
395,1116.744
396,1121.732
397,1118.451
398,1123.305
399,1120.622
400,1124.134
401,1121.012
402,1127.232
403,1132.000
404,1143.378
405,1142.476
406,1125.732
407,1132.854
408,1137.951
409,1136.207
410,1135.341
411,1134.329
412,1141.732
413,1143.659
414,1136.183
415,1129.659
416,1132.134
417,1141.524
418,1140.805
419,1134.073
420,1143.695
421,1148.049
422,1152.280
423,1140.293
424,1133.963
425,1135.415
426,1148.756
427,1140.207
428,1148.878
429,1145.134
430,1153.012
431,1146.902
432,1149.524
433,1152.146
434,1145.573
435,1158.366
436,1160.878
437,1157.171
438,1160.927
439,1157.134
440,1156.866
441,1166.183
442,1160.829
443,1161.171
444,1157.110
445,1161.256
446,1164.134
447,1150.671
448,1175.549
449,1174.256
450,1163.939
451,1167.524
452,1155.415
453,1152.866
454,1154.622
455,1152.988
456,1161.244
457,1158.329
458,1155.171
459,1157.280
460,1160.854
461,1151.683
462,1160.695
463,1161.098
464,1166.366
465,1162.805
466,1155.098
467,1163.451
468,1164.024
469,1158.488
470,1154.732
471,1162.220
472,1164.939
473,1170.732
474,1172.988
475,1171.537
476,1163.354
477,1179.366
478,1167.232
479,1178.854
480,1173.854
481,1183.244
482,1177.622
483,1174.012
484,1181.134
485,1181.732
486,1185.524
487,1183.171
488,1182.073
489,1183.512
490,1186.902
491,1192.207
492,1195.098
493,1191.317
494,1193.098
495,1198.232
496,1201.866
497,1195.695
498,1199.280
499,1197.293
500,1195.780
501,1206.927
502,1208.329
503,1216.232
504,1208.768
505,1200.817
506,1204.037
507,1216.427
508,1214.378
509,1213.915
510,1211.329
511,1217.951
512,1221.122
513,1216.463
514,1213.171
515,1226.366
516,1227.171
517,1219.720
518,1219.280
519,1226.756
520,1227.159
521,1227.085
522,1234.268
523,1224.463
524,1214.732
525,1221.805
526,1223.488
527,1228.439
528,1230.927
529,1247.293
530,1237.451
531,1247.671
532,1239.585
533,1233.000
534,1244.780
535,1235.780
536,1228.720
537,1240.159
538,1246.159
539,1232.573
540,1244.902
541,1241.024
542,1241.159
543,1248.988
544,1238.744
545,1245.659
546,1249.463
547,1246.634
548,1238.122
549,1241.610
550,1250.146
551,1246.720
552,1247.061
553,1253.134
554,1256.073
555,1254.939
556,1256.415
557,1262.524
558,1255.646
559,1251.951
560,1254.390
561,1248.646
562,1248.073
563,1255.695
564,1252.720
565,1258.305
566,1251.037
567,1253.768
568,1255.854
569,1260.622
570,1272.159
571,1256.232
572,1261.073
573,1265.659
574,1257.110
575,1266.183
576,1263.366
577,1260.451
578,1266.854
579,1269.280
580,1267.268
581,1264.537
582,1273.341
583,1274.866
584,1279.159
585,1275.768
586,1278.366
587,1275.061
588,1281.683
589,1274.927
590,1282.659
591,1281.341
592,1277.744
593,1277.110
594,1285.378
595,1289.744
596,1285.012
597,1289.793
598,1286.305
599,1293.878
600,1289.329
601,1303.134
602,1287.341
603,1284.732
604,1296.561
605,1303.598
606,1299.195
607,1291.573
608,1291.976
609,1285.110
610,1288.549
611,1301.207
612,1290.512
613,1292.341
614,1294.500
615,1298.463
616,1313.134
617,1301.256
618,1303.902
619,1294.402
620,1307.707
621,1304.305
622,1302.341
623,1299.805
624,1302.805
625,1306.695
626,1313.012
627,1302.183
628,1301.512
629,1304.317
630,1312.305
631,1311.000
632,1311.110
633,1314.085
634,1310.744
635,1324.280
636,1314.707
637,1315.854
638,1320.537
639,1323.732
640,1313.780
641,1319.878
642,1318.695
643,1326.037
644,1325.537
645,1324.659
646,1318.305
647,1318.780
648,1318.537
649,1332.220
650,1319.720
651,1325.524
652,1312.634
653,1322.402
654,1315.585
655,1319.829
656,1325.768
657,1323.049
658,1336.256
659,1340.378
660,1337.061
661,1331.232
662,1332.890
663,1335.110
664,1330.622
665,1342.220
666,1338.451
667,1343.146
668,1333.988
669,1336.720
670,1337.512
671,1335.390
672,1340.000
673,1340.354
674,1342.329
675,1348.146
676,1346.183
677,1344.976
678,1351.183
679,1353.122
680,1342.049
681,1356.268
682,1352.378
683,1349.805
684,1349.366
685,1338.366
686,1348.427
687,1350.659
688,1352.598
689,1351.659
690,1347.366
691,1350.134
692,1349.073
693,1351.902
694,1344.707
695,1351.683
696,1344.598
697,1361.829
698,1356.305
699,1367.232
700,1365.622
701,1372.220
702,1357.390
703,1363.402
704,1367.585
705,1356.317
706,1353.939
707,1357.012
708,1360.000
709,1363.024
710,1360.183
711,1371.854
712,1365.134
713,1362.707
714,1366.488
715,1381.756
716,1375.280
717,1362.061
718,1362.073
719,1367.768
720,1377.293
721,1378.866
722,1363.841
723,1371.854
724,1379.878
725,1369.415
726,1374.512
727,1375.829
728,1371.756
729,1369.000
730,1369.549
731,1368.890
732,1372.134
733,1377.573
734,1370.805
735,1379.512
736,1379.378
737,1383.280
738,1384.402
739,1373.134
740,1371.646
741,1377.951
742,1384.695
743,1382.720
744,1383.573
745,1379.402
746,1394.963
747,1389.061
748,1391.902
749,1395.744
750,1395.585
751,1391.098
752,1386.415
753,1389.915
754,1381.927
755,1377.500
756,1392.622
757,1384.976
758,1385.378
759,1388.988
760,1386.390
761,1391.378
762,1394.122
763,1398.268
