 ,Value
1,813.939
2,849.476
3,876.171
4,904.841
5,917.256
6,922.866
7,938.610
8,942.402
9,942.085
10,953.183
11,955.159
12,957.207
13,955.293
14,953.098
15,962.598
16,959.805
17,962.037
18,965.329
19,955.415
20,964.537
21,968.451
22,972.207
23,963.415
24,971.841
25,971.073
26,970.610
27,972.573
28,976.280
29,971.610
30,976.280
31,978.915
32,980.061
33,971.549
34,979.854
35,973.915
36,978.585
37,986.512
38,980.463
39,986.232
40,991.427
41,976.561
42,988.768
43,996.000
44,976.232
45,991.646
46,988.402
47,992.244
48,993.573
49,989.512
50,994.524
51,994.805
52,996.134
53,992.902
54,1001.341
55,997.549
56,997.171
57,998.329
58,991.000
59,986.744
60,1001.573
61,1004.854
62,998.171
63,1001.415
64,1001.500
65,1006.683
66,1008.134
67,1007.220
68,1002.854
69,998.256
70,1011.720
71,988.854
72,990.000
73,1002.159
74,1009.939
75,1005.329
76,1002.463
77,1009.122
78,1007.622
79,1014.146
80,1009.707
81,1004.939
82,1009.768
83,1011.732
84,1010.329
85,1002.000
86,1008.220
87,1009.268
88,1012.037
89,1009.085
90,1015.110
91,1007.244
92,1014.024
93,1017.549
94,1026.927
95,1020.256
96,1019.293
97,1025.183
98,1018.280
99,1012.878
100,1013.110
101,1021.756
102,1021.256
103,1025.134
104,1021.573
105,1027.951
106,1026.049
107,1030.390
108,1029.902
109,1027.939
110,1029.061
111,1031.976
112,1031.585
113,1033.183
114,1034.634
115,1029.268
116,1017.622
117,1034.598
118,1029.329
119,1031.463
120,1047.390
121,1031.720
122,1031.561
123,1028.817
124,1031.549
125,1030.549
126,1034.061
127,1040.012
128,1032.573
129,1038.817
130,1036.317
131,1030.512
132,1039.561
133,1040.622
134,1040.061
135,1039.415
136,1040.476
137,1032.305
138,1039.110
139,1041.000
140,1050.598
141,1048.854
142,1042.390
143,1037.878
144,1038.646
145,1040.341
146,1044.415
147,1047.122
148,1034.549
149,1040.000
150,1036.402
151,1052.037
152,1045.049
153,1042.963
154,1059.659
155,1055.134
156,1042.354
157,1053.512
158,1061.220
159,1050.659
160,1041.451
161,1058.280
162,1055.183
163,1055.549
164,1051.463
165,1054.463
166,1054.866
167,1051.854
168,1056.439
169,1050.220
170,1050.829
171,1047.268
172,1057.793
173,1060.317
174,1063.171
175,1062.512
176,1070.305
177,1064.207
178,1066.927
179,1061.659
180,1071.000
181,1060.537
182,1071.098
183,1064.756
184,1065.024
185,1072.232
186,1060.829
187,1067.183
188,1066.195
189,1065.146
190,1066.854
191,1070.390
192,1070.732
193,1064.146
194,1072.244
195,1076.463
196,1071.976
197,1067.305
198,1069.085
199,1070.573
200,1066.671
201,1074.110
202,1080.207
203,1080.427
204,1074.037
205,1072.232
206,1083.573
207,1073.963
208,1078.902
209,1088.768
210,1074.049
211,1071.378
212,1076.902
213,1085.793
214,1080.183
215,1076.146
216,1076.598
217,1090.573
218,1085.634
219,1080.061
220,1080.561
221,1083.854
222,1084.866
223,1081.927
224,1089.927
225,1082.293
226,1084.354
227,1088.878
228,1095.378
229,1098.634
230,1101.317
231,1102.512
232,1089.768
233,1087.793
234,1089.049
235,1100.744
236,1092.159
237,1096.659
238,1093.439
239,1089.085
240,1093.817
241,1095.695
242,1090.683
243,1097.573
244,1100.915
245,1097.939
246,1093.890
247,1091.378
248,1095.695
249,1098.744
250,1105.476
251,1112.110
252,1099.915
253,1103.098
254,1107.488
255,1109.829
256,1110.207
257,1109.085
258,1115.744
259,1110.890
260,1110.390
261,1108.098
262,1103.341
263,1116.805
264,1108.805
265,1113.171
266,1101.061
267,1109.915
268,1115.659
269,1104.878
270,1119.756
271,1116.927
272,1121.805
273,1120.537
274,1113.707
275,1129.780
276,1123.207
277,1127.293
278,1120.402
279,1119.683
280,1116.500
281,1124.646
282,1131.439
283,1131.415
284,1124.122
285,1130.951
286,1124.122
287,1128.110
288,1124.488
289,1127.354
290,1125.207
291,1131.439
292,1132.073
293,1132.817
294,1134.488
295,1138.427
296,1145.634
297,1137.415
298,1136.598
299,1131.317
300,1134.927
301,1141.183
302,1142.866
303,1137.793
304,1135.024
305,1148.707
306,1144.756
307,1146.122
308,1138.854
309,1140.634
310,1146.305
311,1154.073
312,1147.768
313,1138.927
314,1137.634
315,1142.317
316,1143.049
317,1151.415
318,1141.829
319,1148.000
320,1149.463
321,1140.720
322,1146.634
323,1145.085
324,1147.878
325,1140.829
326,1160.793
327,1146.049
328,1156.207
329,1160.829
330,1147.890
331,1149.183
332,1153.378
333,1149.695
334,1156.244
335,1156.988
336,1164.866
337,1161.012
338,1156.122
339,1159.244
340,1158.415
341,1162.890
342,1160.646
343,1164.305
344,1154.561
345,1163.512
346,1159.683
347,1165.415
348,1157.390
349,1164.390
350,1154.110
351,1161.902
352,1161.707
353,1157.073
354,1163.220
355,1170.012
356,1165.293
357,1162.427
358,1164.622
359,1163.829
360,1168.427
361,1165.317
362,1161.549
363,1159.305
364,1176.695
365,1167.951
366,1163.768
367,1172.988
368,1169.598
369,1174.244
370,1168.610
371,1176.659
372,1175.805
373,1171.829
374,1170.171
375,1179.012
376,1170.268
377,1178.939
378,1178.317
379,1184.951
380,1176.000
381,1171.317
382,1177.317
383,1179.195
384,1179.366
385,1185.610
386,1177.037
387,1184.939
388,1184.524
389,1176.756
390,1189.573
391,1183.159
392,1190.195
393,1186.707
394,1192.951
395,1191.829
396,1188.098
397,1188.927
398,1193.354
399,1188.037
400,1197.415
401,1184.683
402,1196.671
403,1196.756
404,1189.390
405,1204.256
406,1193.439
407,1187.524
408,1212.756
409,1195.207
410,1195.085
411,1204.707
412,1197.793
413,1199.305
414,1185.744
415,1199.256
416,1205.829
417,1208.902
418,1208.890
419,1202.622
420,1198.232
421,1203.463
422,1211.817
423,1203.841
424,1216.280
425,1219.110
426,1202.890
427,1202.110
428,1201.939
429,1211.244
430,1214.378
431,1216.488
432,1209.756
433,1203.634
434,1210.232
435,1217.890
436,1226.146
437,1222.122
438,1218.146
439,1217.317
440,1221.256
441,1221.805
442,1223.476
443,1220.512
444,1222.220
445,1215.793
446,1211.939
447,1217.049
448,1218.232
449,1211.683
450,1221.268
451,1213.402
452,1216.061
453,1220.451
454,1217.122
455,1213.476
456,1221.646
457,1207.659
458,1206.659
459,1211.976
460,1217.427
461,1210.268
462,1209.671
463,1214.780
464,1216.902
465,1212.256
466,1212.744
467,1204.963
468,1221.268
469,1218.915
470,1215.110
471,1215.927
472,1212.329
473,1215.329
474,1224.341
475,1213.573
476,1222.110
477,1221.634
478,1234.000
