 ,Value
1,298.817
2,312.146
3,318.707
4,326.939
5,331.744
6,331.939
7,335.817
8,336.890
9,335.610
10,338.512
11,333.683
12,339.939
13,335.232
14,336.122
15,332.939
16,340.061
17,342.866
18,342.549
19,343.659
20,345.134
21,337.805
22,340.524
23,341.293
24,346.890
25,341.195
26,345.671
27,347.329
28,339.951
29,343.927
30,348.293
31,346.622
32,347.268
33,343.793
34,345.841
35,348.159
36,343.805
37,347.829
38,344.122
39,349.598
40,352.183
41,352.439
42,351.720
43,347.695
44,359.049
45,351.951
46,349.024
47,349.220
48,352.866
49,356.902
50,350.232
51,357.061
52,349.073
53,349.207
54,355.427
55,351.268
56,353.951
57,352.780
58,351.244
59,351.854
60,354.366
61,357.793
62,354.646
63,359.195
64,360.744
65,355.402
66,359.146
67,358.573
68,358.622
69,354.683
70,355.915
71,352.073
72,351.951
73,362.756
74,369.280
75,367.439
76,369.756
77,365.976
78,365.329
79,360.512
80,366.378
81,366.829
82,360.293
83,366.720
84,367.122
85,366.476
86,363.122
87,367.841
88,370.585
89,372.768
90,361.963
91,366.220
92,374.122
93,373.183
94,376.866
95,376.012
96,370.524
97,371.598
98,371.354
99,377.500
100,381.159
101,376.256
102,378.720
103,378.037
104,383.988
105,381.390
106,380.378
107,377.610
108,384.390
109,386.598
110,376.098
111,386.341
112,389.000
113,384.012
114,386.183
115,384.841
116,384.122
117,386.024
118,387.793
119,390.915
120,398.598
121,395.159
122,395.195
123,391.122
124,391.256
125,394.817
126,394.061
127,390.512
128,390.207
129,392.963
130,394.768
131,394.183
132,388.354
133,398.988
134,395.939
135,395.841
136,399.524
137,395.134
138,400.159
139,402.329
140,405.476
141,407.768
142,408.366
143,400.780
144,407.585
145,404.659
146,401.549
147,400.159
148,406.500
149,409.293
150,409.390
151,409.890
152,407.793
153,412.817
154,409.354
155,416.317
156,414.500
157,414.512
158,419.610
159,417.744
160,412.341
161,416.683
162,420.963
163,418.793
164,413.854
165,418.146
166,426.110
167,426.085
168,427.061
169,428.598
170,434.012
171,428.305
172,425.402
173,429.378
174,431.659
175,428.829
176,429.256
177,436.683
178,431.622
179,435.085
180,438.622
181,435.646
182,436.817
183,434.805
184,429.207
185,439.073
186,439.390
187,447.000
188,442.024
189,446.061
190,446.085
191,451.329
192,452.695
193,446.720
194,453.293
195,450.866
196,444.878
197,454.854
198,460.390
199,454.329
200,456.207
201,461.268
202,459.939
203,461.244
204,458.195
205,466.012
206,465.341
207,461.988
208,463.378
209,461.866
210,466.927
211,464.902
212,469.427
213,462.585
214,462.768
215,472.963
216,471.720
217,480.659
218,477.524
219,476.146
220,477.146
221,476.207
222,482.402
223,478.537
224,480.256
225,486.427
226,485.451
227,483.207
228,480.366
229,495.732
230,490.427
231,494.207
232,493.061
233,499.415
234,492.720
235,494.463
236,495.280
237,504.780
238,494.024
239,499.268
240,505.768
241,505.037
242,506.476
243,508.537
244,505.841
245,504.671
246,502.902
247,509.134
248,511.171
249,508.854
250,514.415
251,510.354
252,517.415
253,515.585
254,517.646
255,524.463
256,519.598
257,525.220
258,520.293
259,525.768
260,525.159
261,532.524
262,525.585
