 ,Value
1,835.732
2,885.549
3,913.573
4,928.537
5,952.061
6,953.293
7,970.878
8,973.171
9,969.280
10,973.817
11,972.878
12,985.488
13,980.061
14,987.402
15,985.805
16,983.256
17,991.598
18,999.098
19,999.622
20,1001.061
21,1002.549
22,1007.585
23,1005.646
24,1006.256
25,1006.415
26,1004.207
27,1001.451
28,1011.463
29,1013.146
30,1009.732
31,1002.841
32,1007.671
33,1006.646
34,1010.451
35,1007.537
36,1004.500
37,1014.439
38,1016.402
39,1016.232
40,1014.280
41,1011.732
42,1015.890
43,1011.780
44,1018.476
45,1019.549
46,1022.890
47,1019.146
48,1010.427
49,1008.256
50,1019.927
51,1026.622
52,1022.744
53,1033.329
54,1029.744
55,1022.134
56,1035.598
57,1029.915
58,1028.378
59,1028.207
60,1035.707
61,1028.805
62,1031.659
63,1032.122
64,1026.866
65,1025.854
66,1028.183
67,1027.500
68,1038.744
69,1031.683
70,1025.427
71,1016.244
72,1016.500
73,1028.659
74,1041.378
75,1033.951
76,1034.707
77,1036.500
78,1041.866
79,1043.829
80,1049.171
81,1041.037
82,1041.024
83,1028.683
84,1041.427
85,1039.317
86,1042.988
87,1035.805
88,1037.890
89,1031.207
90,1044.549
91,1039.134
92,1040.683
93,1048.732
94,1058.378
95,1051.817
96,1050.646
97,1055.695
98,1052.537
99,1047.463
100,1039.598
101,1055.537
102,1048.829
103,1064.195
104,1056.659
105,1049.720
106,1057.024
107,1058.341
108,1058.963
109,1060.402
110,1059.378
111,1054.098
112,1049.451
113,1058.683
114,1054.220
115,1063.841
116,1061.622
117,1055.329
118,1058.439
119,1057.220
120,1058.927
121,1062.085
122,1055.768
123,1061.110
124,1060.280
125,1059.256
126,1069.146
127,1066.622
128,1059.500
129,1059.793
130,1058.963
131,1067.427
132,1063.402
133,1063.244
134,1072.110
135,1074.549
136,1073.622
137,1064.402
138,1070.890
139,1072.988
140,1064.634
141,1077.329
142,1076.305
143,1073.341
144,1067.000
145,1071.195
146,1061.585
147,1070.585
148,1065.902
149,1081.695
150,1076.280
151,1080.427
152,1082.707
153,1073.890
154,1078.463
155,1079.854
156,1076.866
157,1081.268
158,1083.512
159,1078.195
160,1074.646
161,1068.305
162,1088.415
163,1075.524
164,1081.537
165,1086.305
166,1084.049
167,1079.610
168,1089.427
169,1084.110
170,1083.561
171,1083.817
172,1089.573
173,1086.427
174,1083.768
175,1087.890
176,1084.280
177,1088.000
178,1090.610
179,1097.488
180,1092.134
181,1087.939
182,1092.110
183,1090.024
184,1090.085
185,1097.878
186,1100.134
187,1098.024
188,1102.720
189,1101.744
190,1094.671
191,1093.720
192,1104.549
193,1091.195
194,1102.963
195,1107.927
196,1095.024
197,1104.598
198,1107.854
199,1091.683
200,1106.256
201,1100.220
202,1107.244
203,1111.232
204,1105.915
205,1102.634
206,1111.110
207,1102.598
208,1115.220
209,1105.159
210,1101.841
211,1104.000
212,1112.512
213,1110.659
214,1115.378
215,1106.244
216,1113.927
217,1107.573
218,1106.293
219,1114.012
220,1109.232
221,1114.598
222,1111.524
223,1124.402
224,1119.707
225,1128.939
226,1115.793
227,1114.512
228,1118.585
229,1121.476
230,1120.098
231,1114.963
232,1111.561
233,1113.939
234,1124.195
235,1114.366
236,1116.146
237,1121.402
238,1121.415
239,1129.744
240,1130.500
241,1134.122
242,1130.890
243,1134.366
244,1121.963
245,1128.744
246,1133.000
247,1136.817
248,1134.573
249,1122.720
250,1126.610
251,1127.220
252,1118.244
253,1127.488
254,1128.829
255,1130.122
256,1138.366
257,1136.866
258,1136.634
259,1125.463
260,1139.951
261,1142.268
262,1145.232
263,1153.232
264,1140.744
265,1137.622
266,1140.451
267,1138.695
268,1137.659
269,1141.159
270,1146.073
271,1143.000
272,1140.207
273,1151.232
274,1146.244
275,1158.098
276,1149.561
277,1155.244
278,1139.122
279,1143.000
280,1150.610
281,1149.354
282,1151.634
283,1151.012
284,1154.976
285,1147.159
286,1150.720
