 ,Value
1,673.793
2,716.366
3,738.122
4,746.988
5,761.707
6,769.817
7,774.659
8,780.524
9,780.122
10,786.171
11,790.695
12,787.951
13,794.646
14,799.341
15,796.476
16,801.976
17,797.841
18,804.171
19,794.610
20,797.537
21,811.963
22,811.305
23,806.488
24,814.695
25,812.524
26,812.390
27,808.768
28,810.146
29,811.195
30,819.195
31,816.159
32,818.427
33,811.720
34,813.854
35,822.805
36,817.061
37,822.829
38,820.500
39,819.159
40,819.000
41,825.707
42,827.159
43,828.183
44,825.976
45,824.744
46,824.305
47,823.171
48,828.037
49,832.976
50,831.098
51,826.988
52,824.329
53,836.841
54,826.451
55,829.829
56,831.829
57,838.756
58,832.390
59,828.244
60,832.244
61,824.439
62,837.976
63,831.159
64,829.427
65,838.012
66,838.610
67,838.244
68,836.195
69,837.256
70,833.793
71,830.476
72,818.671
73,835.305
74,841.622
75,837.744
76,836.049
77,838.549
78,838.085
79,847.805
80,844.488
81,839.646
82,852.451
83,848.537
84,848.939
85,847.220
86,851.915
87,842.390
88,845.195
89,845.524
90,844.476
91,848.451
92,856.439
93,856.927
94,854.976
95,851.939
96,850.622
97,851.744
98,861.598
99,856.317
100,857.098
101,856.622
102,852.939
103,859.841
104,866.354
105,856.500
106,863.049
107,863.329
108,870.793
109,873.622
110,857.768
111,854.537
112,856.829
113,865.122
114,867.902
115,869.854
116,870.732
117,865.463
118,871.085
119,860.451
120,867.512
121,864.744
122,867.854
123,869.695
124,869.500
125,874.183
126,863.671
127,869.402
128,869.841
129,866.256
130,877.000
131,872.463
132,871.744
133,869.573
134,876.451
135,876.207
136,870.195
137,870.329
138,874.378
139,872.244
140,871.427
141,878.256
142,878.634
143,884.524
144,871.902
145,877.207
146,878.585
147,880.415
148,891.146
149,885.646
150,886.683
151,891.220
152,881.366
153,876.171
154,886.427
155,886.073
156,878.780
157,888.427
158,885.122
159,892.854
160,890.963
161,892.915
162,894.293
163,896.805
164,896.122
165,893.720
166,888.244
167,890.500
168,893.732
169,889.976
170,895.573
171,889.963
172,891.146
173,884.598
174,906.512
175,896.280
176,902.439
177,893.524
178,899.976
179,895.390
180,902.976
181,900.280
182,897.805
183,904.024
184,899.476
185,898.037
186,907.890
187,902.085
188,911.585
189,908.024
190,907.939
191,902.659
192,902.841
193,912.659
194,907.988
195,910.524
196,909.305
197,918.793
198,913.695
199,907.695
200,914.927
201,913.854
202,917.549
203,920.329
204,923.646
205,917.244
206,910.244
207,916.402
208,919.768
209,918.244
210,927.793
211,921.780
212,925.866
213,925.073
214,923.537
215,924.366
216,926.622
217,926.854
218,921.415
219,933.134
220,929.683
221,925.524
222,938.561
223,930.402
224,927.854
225,931.195
226,930.537
227,935.061
228,934.805
229,937.878
230,947.012
231,930.317
232,933.878
233,948.415
234,934.622
235,952.720
236,945.232
237,940.439
238,936.427
239,944.793
240,935.451
241,938.902
242,939.293
243,945.488
244,946.939
245,953.915
246,948.085
247,950.537
248,960.732
249,949.951
250,949.671
251,953.768
252,961.683
253,949.866
254,959.122
255,960.854
256,962.220
257,951.976
258,961.317
259,958.207
260,960.427
261,964.402
262,966.049
263,972.488
264,964.793
265,961.098
266,966.427
267,968.476
268,960.805
269,960.829
270,969.829
271,970.610
272,967.171
273,973.427
274,961.549
275,975.451
276,967.573
277,969.451
278,972.415
279,978.598
280,973.098
281,963.427
282,964.512
283,976.902
284,977.841
285,986.110
286,976.963
287,989.683
288,977.183
289,977.524
290,982.805
291,980.451
292,990.012
293,981.622
294,980.744
295,993.061
296,988.646
297,994.585
298,995.488
299,988.183
300,988.659
301,985.354
302,988.427
303,995.537
304,993.122
305,1004.049
306,993.634
307,1006.524
308,999.402
309,999.549
310,1002.061
311,1001.146
312,1001.012
313,1003.220
314,998.171
315,1005.061
316,1007.012
317,1009.598
318,1007.488
319,1002.890
320,998.976
321,1008.976
322,1004.354
323,1006.122
324,1009.049
325,1004.720
326,1010.537
327,1016.695
328,1012.390
329,1018.951
330,1010.890
331,1018.232
332,1007.024
333,1015.610
334,1016.927
335,1013.134
336,1017.012
337,1014.195
338,1018.012
339,1016.366
340,1017.573
341,1020.854
342,1019.915
343,1032.927
344,1026.244
345,1028.963
346,1034.866
347,1033.293
348,1026.488
349,1024.329
350,1020.683
351,1026.890
352,1024.305
353,1027.841
354,1027.573
355,1025.793
356,1029.720
357,1023.220
358,1035.390
359,1031.793
360,1029.122
361,1017.073
362,1025.561
363,1022.524
364,1040.415
365,1041.073
366,1038.049
367,1046.573
368,1031.634
369,1037.195
370,1040.024
371,1046.000
372,1049.646
373,1049.073
374,1046.939
375,1047.683
376,1053.500
377,1053.341
378,1051.841
379,1048.061
380,1051.634
381,1050.622
382,1054.366
383,1060.805
384,1055.951
385,1054.402
386,1056.317
387,1053.378
388,1057.805
389,1062.890
390,1065.171
391,1068.037
392,1060.183
393,1061.963
394,1067.841
395,1063.061
396,1056.110
397,1066.146
398,1074.317
399,1077.037
400,1070.439
401,1076.073
402,1075.768
403,1079.817
404,1075.976
405,1071.329
406,1074.756
407,1071.890
408,1074.524
409,1080.061
410,1071.024
411,1078.890
412,1080.293
413,1080.402
414,1077.390
415,1084.659
416,1092.220
417,1086.512
418,1085.988
419,1097.537
420,1091.720
421,1092.683
422,1094.646
423,1083.341
424,1085.402
425,1097.866
426,1094.549
427,1098.232
428,1097.000
429,1094.159
430,1090.085
431,1100.146
432,1098.207
433,1097.122
434,1100.976
435,1106.256
436,1102.061
437,1113.854
438,1101.073
439,1102.073
440,1107.061
441,1115.329
442,1106.585
443,1111.732
444,1102.817
445,1098.256
446,1108.244
447,1105.793
448,1108.707
449,1111.659
450,1110.293
451,1097.183
452,1102.366
453,1109.220
454,1116.341
455,1111.280
456,1106.585
457,1105.500
458,1108.085
459,1105.939
460,1108.659
461,1104.646
462,1107.707
463,1109.756
464,1109.561
465,1110.183
466,1113.244
467,1120.634
468,1111.329
469,1116.524
470,1117.707
471,1112.988
472,1111.915
473,1121.500
474,1122.610
475,1125.341
476,1125.354
477,1126.171
478,1127.500
479,1126.183
480,1136.512
481,1126.317
482,1130.098
483,1130.402
484,1130.561
485,1125.488
486,1131.378
487,1132.476
488,1140.817
489,1144.988
490,1142.634
491,1147.171
492,1146.744
493,1136.866
494,1133.634
495,1146.573
496,1145.122
497,1149.171
498,1145.854
499,1152.134
500,1148.915
501,1149.207
502,1152.915
503,1152.000
504,1150.610
505,1153.622
506,1154.768
507,1158.415
508,1153.537
509,1153.890
510,1167.341
511,1170.463
512,1165.841
513,1174.195
514,1165.220
515,1171.695
516,1173.951
517,1180.841
518,1175.927
519,1176.732
520,1187.159
521,1182.634
522,1178.293
523,1182.195
524,1186.476
525,1188.854
526,1189.524
527,1188.890
528,1179.159
529,1179.159
